Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
EPM2AIP1,2.521286160064312,4.318886213480384,13.277492258850183,2.4081521765664934e-30,2.5730813760005525e-26,58.254820199708135
AC092969.1,4.595914426496691,-2.464888033949663,13.27089559461686,2.532061972053289e-30,2.5730813760005525e-26,57.384305429504955
HIF3A,4.292507083586855,0.8777132889169107,13.187930750045691,4.757803217781682e-30,3.223253086606497e-26,57.42232773821365
IGSF1,4.2412159061481365,-1.3706271048408054,12.975920771998261,2.3786710698770193e-29,1.2086027706045135e-25,55.3603505610331
ZSWIM7,-0.951244086684397,4.50341809975108,-12.919789271496226,3.640010507018797e-29,1.4795914708930008e-25,55.575896986751935
HENMT1,2.523413549407781,2.1099936063753435,12.380020912473837,2.1427216292150898e-27,7.258112398694582e-24,51.49314200533347
DNAH17-AS1,3.5771893523871685,-2.423799785370881,12.33291077289844,3.0533607769817727e-27,8.865214918768221e-24,50.49749678794507
MLH1,1.9556833913501466,4.05821587559975,12.165473563954823,1.0727371013448128e-26,2.725288605966497e-23,49.96073112860743
ELAPOR1,-5.0370012365585985,7.75023227283373,-11.882149508483549,8.917550060812404e-26,2.01378097151057e-22,47.85622006067776
LINC01936,2.529058510916126,-0.7823720316973211,11.800110960459538,1.6430151204659047e-25,3.339263930834905e-22,46.93627678310842
RNLS,2.5424476179117086,1.8656653762682474,11.779710095014993,1.9123652374858207e-25,3.533355553332893e-22,47.04078661820157
MX2,2.417225798300735,3.9279302896816506,11.744583705192277,2.4832703627329577e-25,4.205832237682053e-22,46.85420609955939
CDKN2A,3.0582715296377563,4.484867530729578,11.70358011705035,3.3678693988147244e-25,5.265275204731574e-22,46.54242451711103
CTCFL,5.69372259615349,-2.3700811707363765,11.683095670877456,3.9212291002006944e-25,5.692504302319922e-22,45.92583871398293
AC021683.1,3.4016674396308373,-1.3449342605509997,11.468252878160515,1.9256011937987173e-24,2.609061244184342e-21,44.50993264341747
NOL4L,1.2719118290623284,5.51458942927851,11.410982760758516,2.9392510723066998e-24,3.7335836745975854e-21,44.359366298592676
DDB2,-1.030077082531955,4.7889700346992035,-11.285161399641892,7.428125713264808e-24,8.880542764493761e-21,43.48351837320908
L1CAM,4.623556509264841,1.9366441973003596,11.14286932078818,2.112128864705373e-23,2.3848281692373334e-20,42.48541514404082
C10orf88B,3.0943794147878947,-2.7556488112454445,11.107126377265464,2.7444924844046944e-23,2.935740276475843e-20,41.73445925502515
TAF9,-0.8434731211454087,5.600228681396612,-11.096470798169397,2.9672195405207997e-23,3.0152884970772366e-20,42.07798979226896
AARD,3.1778876868987194,-2.1938314856464,11.049978829197888,4.1696008328400726e-23,4.035379396506745e-20,41.43682523442436
GOLGA1,-0.7027503268866626,4.405207286866326,-10.932726427069714,9.814737555766366e-23,9.06703300379071e-20,40.94751856884963
PNMA3,4.181367421100748,0.378793787627825,10.87841800071408,1.4577029012033872e-22,1.2881023375677235e-19,40.51323287016741
BX322639.1,3.895204420382897,-1.530972847952487,10.830188218070411,2.0701787830931885e-22,1.7530963994827485e-19,39.938515480684714
LINC00839,2.742363476993324,1.1271902434268108,10.782323775625084,2.9307697895955425e-22,2.382598608149592e-19,39.86643536973332
AC021683.2,3.0763419380344774,-1.0549154332233641,10.768908926718822,3.230402408493869e-22,2.5251807134703615e-19,39.60061169609426
AC009237.3,3.5378644979486458,0.18969335250937985,10.730978012910862,4.253035325654523e-22,3.2014329614297233e-19,39.444113962112695
PLAG1,2.808549424576594,0.4224150408513638,10.685202166461242,5.924655968483377e-22,4.300453853694863e-19,39.154314037966735
RSPO4,4.6241308016890414,-0.9533726627772395,10.668606885740028,6.680445744256183e-22,4.556238749509055e-19,38.914175788081685
SPDEF,-3.9783427493662247,6.334857750984586,-10.66767948693651,6.725406538342435e-22,4.556238749509055e-19,39.04907284302704
DLGAP3,2.8878786497307454,0.10321748449493981,10.58754696311562,1.1998059227064897e-21,7.866082442931193e-19,38.447931677604274
PLPP2,-2.0090134786227596,7.598084298307158,-10.560485535543334,1.458363170272996e-21,9.262429085196366e-19,38.19845814523044
KCNK9,2.9341864434871368,-1.2549181104426252,10.516204139934654,2.006293578586547e-21,1.2000726607586014e-18,37.802329462220655
SAT2,-0.9915063937890318,5.601472844081759,-10.516113680314703,2.0076003968604826e-21,1.2000726607586014e-18,37.91304837952398
NIPA1,-1.902049700248122,3.8659328941001108,-10.482450644175008,2.557732711539433e-21,1.4852388465522125e-18,37.76406968636496
ALK,3.2555899350272126,-1.358399649067558,10.412415600497937,4.2296366612495985e-21,2.3878648750899123e-18,37.03933231385256
ZNF311,2.9157652764602133,-0.9204475494663253,10.382492437555612,5.241817667020989e-21,2.8793162774198536e-18,36.873707732228866
AC009237.14,3.1889492282079397,-0.22747216681124813,10.36147997494688,6.093365312127443e-21,3.258988331675741e-18,36.79344780368306
AC009237.15,3.188822759012374,-1.896708101105902,10.356521918632687,6.31358801576692e-21,3.2901887905755608e-18,36.56389151068773
MYT1,3.7410809588050764,-2.0295180404231816,10.329646068116618,7.652650262342822e-21,3.888311598296388e-18,36.39792013695343
FIRRE,3.142586301540298,-0.0060621458374957755,10.289461277827298,1.0199301855949084e-20,5.0558685590319316e-18,36.343234216872425
ARHGAP29,1.8296038031095208,4.433025491528398,10.262572745093852,1.2358107406858899e-20,5.98014702230953e-18,36.142315791313976
CLCN3P1,2.58269807638538,-1.6730506604211601,10.229293667700864,1.5669013268356834e-20,7.405977341071728e-18,35.75370208038706
ZNF334,2.8997959788339047,-0.4375259810708322,10.203665532907275,1.8808230357002523e-20,8.687692585811803e-18,35.70087238728444
KDM4B,-0.9895707206012778,6.647419779174662,-10.161684974998925,2.5357101918295403e-20,1.1210901232078018e-17,35.37490710827425
UCHL1,3.794057064424651,3.4093567041963175,10.161591219455394,2.5374013810056525e-20,1.1210901232078018e-17,35.48649529833501
HPDL,2.3153567383625386,0.4905583844045843,10.132104126379332,3.129021180670011e-20,1.3530686484241979e-17,35.2770760176591
CDKN1A,-1.769116432418353,7.153886824901547,-10.1117672398527,3.615149816109031e-20,1.5307146846374988e-17,35.02572314033
SLC6A12,2.888913500951598,1.7410932907606869,10.102443563650219,3.8624627978191847e-20,1.6020549776097368e-17,35.10499734069802
OSTF1,-0.9281196726302916,5.200823456173869,-10.095232541999987,4.065217473351603e-20,1.6524295985679598e-17,34.95613081665413
GPR158,3.7774133565411208,-1.1914772733661907,10.03486920861205,6.235179405776797e-20,2.4847801224119142e-17,34.481880630337116
FIGNL2,2.72178262945776,-1.833964268884268,9.99633768318797,8.188557533414122e-20,3.2004662174828584e-17,34.15604458318796
CPVL,2.0458327002157515,3.1734522366663476,9.964315944754828,1.0266851906958095e-19,3.937047135038044e-17,34.123253276703274
PTX3,2.6509725695656043,-0.7033152460197657,9.955282446521567,1.0942752893383335e-19,4.118527959354128e-17,33.958364089971695
SLC6A11,3.840399193381238,-2.759410258614104,9.949118043682216,1.142920563560512e-19,4.223403187964335e-17,33.74880140135468
AC006206.2,3.3740484940101965,-3.359473769475472,9.905784368729508,1.5512252580300924e-19,5.629839668607786e-17,33.397347580228825
GFOD1,1.6400252282414072,3.164802396799619,9.86998630490261,1.9956976769413726e-19,7.055674439978666e-17,33.47306942050374
GALNT10,-1.477307568924763,6.422840595803565,-9.868721684843289,2.0135264589586827e-19,7.055674439978666e-17,33.336705268493766
FAM218A,2.6605383246794965,-1.3109445091376635,9.855772737687056,2.205447660777384e-19,7.597206484345687e-17,33.20640902331102
VPS53,-0.5986524286095696,5.965280626583226,-9.824238159327876,2.7523372005042665e-19,9.323083543841452e-17,33.028878248268285
BCAM,1.9057242559525172,8.601400376281429,9.809073145282545,3.0614226811648866e-19,1.0137805022747715e-16,32.90530173283308
TMEM41A,0.8841777598676819,4.988723144354969,9.807628019506163,3.092619127191293e-19,1.0137805022747715e-16,32.937538689323226
SRR,-1.1511996583598587,1.9581214403300669,-9.801665528522411,3.2247108665755553e-19,1.0403019627346283e-16,33.013133602514216
SLC6A13,3.158225631774705,-1.6198809629952644,9.785936338982577,3.600706037569866e-19,1.1434492110557806e-16,32.76339364710081
GPR19,2.1070351418270397,-0.9798284733852534,9.769986445663724,4.0264777628738853e-19,1.2589866777330592e-16,32.69790192064836
GPRIN2,3.938364700089365,-1.5228259350605604,9.738110372568869,5.03307516802741e-19,1.5498821168937739e-16,32.450211382590076
TRPM4,-1.5420249476913268,7.027678800490207,-9.726462947884977,5.460238397268545e-19,1.6563266445684464e-16,32.34000379064584
