ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0003341,cilium movement,85/1923,258/18986,0.32945736434108525,3.252770420894355,12.230616120184107,7.177704045239345e-24,4.1307686780352426e-20,3.412809386562749e-20,KLC3/SPA17/SPACA9/DNAH9/JHY/KIF27/BBOF1/CFAP69/DNAI4/EPPIN/DNAAF1/NME5/POC1B/GAS2L2/TEKT3/NEURL1/CFAP161/NEK10/CFAP251/CFAP53/DNAH11/DNAH10/RIBC1/CFAP43/ENKUR/DNAH3/CCDC40/EFCAB6/DNAAF6/DNAAF4/TMEM232/CFAP157/TEKT4/CATSPERD/CFAP57/TTC21A/ARMC3/CFAP58/CFAP65/TCTE1/IQUB/DNAH6/DNAH7/ROPN1B/SLC22A16/SPAG8/PACRG/LRRC23/CFAP73/DNAI3/DNAI2/CCDC65/RSPH4A/TEKT1/ROPN1L/SPEF2/CFAP70/CFAP46/CWH43/ZMYND12/TTC29/CFAP221/ZMYND10/CFAP61/CFAP45/CFAP52/DRC7/CFAP126/HOATZ/CFAP77/EFHB/DNAI1/CCDC146/RIBC2/CELF3/DRC1/CFAP100/SPEF1/TEKT2/SPAG17/HYDIN/DNAH5/CFAP47/TTLL6/DEFB1,85
GO:0001578,microtubule bundle formation,57/1923,136/18986,0.41911764705882354,4.137996696338441,12.329160505212055,3.1199805112556074e-22,8.977743921138011e-19,7.417343141758727e-19,PSRC1/PLK1/SPACA9/KIF20A/JHY/BBOF1/CFAP69/DNAI4/TRIM46/DNAAF1/LRGUK/GAS2L2/NEURL1/RSPH1/CFAP43/CCDC40/TPPP3/DNAAF6/CC2D2A/DNAAF4/CFAP157/CFAP57/CFAP58/CFAP65/RP1/DNAH7/LRRC23/CFAP73/DNAI3/DNAI2/CCDC65/RSPH4A/SPEF2/CFAP46/ZMYND12/ZMYND10/CFAP74/DNAJB13/DNAAF3/DRC7/HOATZ/LRRC43/DNAI1/CCDC146/DRC1/MAP1B/CFAP100/SPEF1/TEKT2/SPAG17/FOXJ1/HYDIN/DNAH5/CFAP47/MTCL1/TTLL6/CAPN6,57
GO:0035082,axoneme assembly,47/1923,105/18986,0.44761904761904764,4.419394299581507,11.79501735502886,5.241969037698912e-20,1.005584393731908e-16,8.308061102907364e-17,SPACA9/JHY/BBOF1/CFAP69/DNAI4/DNAAF1/LRGUK/NEURL1/RSPH1/CFAP43/CCDC40/DNAAF6/CC2D2A/DNAAF4/CFAP157/CFAP57/CFAP58/CFAP65/RP1/DNAH7/LRRC23/CFAP73/DNAI3/DNAI2/CCDC65/RSPH4A/SPEF2/CFAP46/ZMYND12/ZMYND10/CFAP74/DNAJB13/DNAAF3/DRC7/HOATZ/LRRC43/DNAI1/CCDC146/DRC1/CFAP100/SPEF1/TEKT2/SPAG17/FOXJ1/HYDIN/DNAH5/CFAP47,47
GO:0007018,microtubule-based movement,114/1923,480/18986,0.2375,2.3448647945917838,10.01867323731553,1.5892422379726695e-18,2.2865222698831783e-15,1.889107154979618e-15,KIF2C/UCHL1/KLC3/KIFC1/SPA17/KIF18B/SPACA9/DNAH9/KIF4A/AP3B2/KIF23/CDR2L/KIF20A/JHY/KIF27/BBOF1/LCA5L/DLGAP5/CFAP69/DNAI4/TRIM46/KIF3C/DYNLRB2/UBB/EPPIN/KIF13B/DNAAF1/NME5/KIF1A/POC1B/GAS2L2/CENPE/TEKT3/NEURL1/DNAH12/CFAP161/NEK10/CFAP251/CFAP53/DNAH11/DNAH10/RIBC1/CFAP43/ENKUR/DNAH3/CCDC40/EFCAB6/DNAAF6/DNAAF4/TMEM232/CFAP157/TEKT4/CATSPERD/CFAP57/TTC21A/ARMC3/CFAP58/CFAP65/KIF5A/TCTE1/IQUB/DNAH6/FMN2/DNAH7/ROPN1B/SLC22A16/SPAG8/PACRG/LRRC23/CFAP73/DNAI3/DYNC1I1/DNAI2/CCDC65/RSPH4A/TEKT1/ROPN1L/SPEF2/CFAP70/CFAP46/CWH43/ZMYND12/TTC29/KIF26B/CFAP221/ZMYND10/CFAP61/CFAP45/CFAP52/KIF19/DRC7/CFAP126/HOATZ/CFAP77/EFHB/DNAI1/CCDC146/RIBC2/CELF3/DRC1/TUB/TMEM108/MAP1B/CFAP100/RAB27B/SPEF1/TEKT2/MGARP/SPAG17/HYDIN/DNAH5/CFAP47/TTLL6/DEFB1,114
GO:0001539,cilium or flagellum-dependent cell motility,67/1923,218/18986,0.3073394495412844,3.0343977061834764,10.141970766223393,2.604014759210607e-17,2.4976841565428403e-14,2.0635674855007565e-14,KLC3/SPACA9/DNAH9/BBOF1/CFAP69/EPPIN/POC1B/GAS2L2/TEKT3/NEURL1/CFAP161/CFAP251/CFAP53/DNAH11/DNAH10/RIBC1/CFAP43/ENKUR/DNAH3/CCDC40/EFCAB6/DNAAF6/TMEM232/CFAP157/TEKT4/CATSPERD/CFAP57/TTC21A/ARMC3/CFAP58/CFAP65/TCTE1/IQUB/DNAH6/DNAH7/ROPN1B/SLC22A16/SPAG8/PACRG/LRRC23/DNAI3/CCDC65/RSPH4A/TEKT1/ROPN1L/SPEF2/CFAP46/ZMYND12/CFAP221/CFAP61/CFAP45/CFAP52/DRC7/CFAP126/HOATZ/CFAP77/EFHB/DNAI1/CCDC146/RIBC2/CELF3/DRC1/TEKT2/DNAH5/CFAP47/TTLL6/DEFB1,67
GO:0060285,cilium-dependent cell motility,67/1923,218/18986,0.3073394495412844,3.0343977061834764,10.141970766223393,2.604014759210607e-17,2.4976841565428403e-14,2.0635674855007565e-14,KLC3/SPACA9/DNAH9/BBOF1/CFAP69/EPPIN/POC1B/GAS2L2/TEKT3/NEURL1/CFAP161/CFAP251/CFAP53/DNAH11/DNAH10/RIBC1/CFAP43/ENKUR/DNAH3/CCDC40/EFCAB6/DNAAF6/TMEM232/CFAP157/TEKT4/CATSPERD/CFAP57/TTC21A/ARMC3/CFAP58/CFAP65/TCTE1/IQUB/DNAH6/DNAH7/ROPN1B/SLC22A16/SPAG8/PACRG/LRRC23/DNAI3/CCDC65/RSPH4A/TEKT1/ROPN1L/SPEF2/CFAP46/ZMYND12/CFAP221/CFAP61/CFAP45/CFAP52/DRC7/CFAP126/HOATZ/CFAP77/EFHB/DNAI1/CCDC146/RIBC2/CELF3/DRC1/TEKT2/DNAH5/CFAP47/TTLL6/DEFB1,67
GO:0060294,cilium movement involved in cell motility,66/1923,215/18986,0.30697674418604654,3.030816674527446,10.053412287468456,4.817030185388277e-17,3.9602869595585046e-14,3.27195869885697e-14,KLC3/SPACA9/DNAH9/BBOF1/CFAP69/EPPIN/POC1B/GAS2L2/TEKT3/NEURL1/CFAP161/CFAP251/CFAP53/DNAH11/DNAH10/RIBC1/CFAP43/ENKUR/DNAH3/CCDC40/EFCAB6/DNAAF6/TMEM232/CFAP157/TEKT4/CATSPERD/CFAP57/TTC21A/ARMC3/CFAP58/CFAP65/TCTE1/IQUB/DNAH6/DNAH7/ROPN1B/SLC22A16/SPAG8/PACRG/LRRC23/DNAI3/RSPH4A/TEKT1/ROPN1L/SPEF2/CFAP46/ZMYND12/CFAP221/CFAP61/CFAP45/CFAP52/DRC7/CFAP126/HOATZ/CFAP77/EFHB/DNAI1/CCDC146/RIBC2/CELF3/DRC1/TEKT2/DNAH5/CFAP47/TTLL6/DEFB1,66
GO:0007389,pattern specification process,107/1923,476/18986,0.22478991596638656,2.2193766742266328,9.044933901760244,1.1147453891649559e-15,8.019199643305402e-13,6.625401214286982e-13,AURKA/PTCH1/DLL3/EFNB1/TCTN1/MLLT3/FOXA2/RARG/IHH/HES5/DNAAF1/DSCAML1/HOXA4/TCF15/MSX1/MEOX1/AXIN2/CFAP53/DNAH11/ROBO2/LEF1/ENKUR/CCDC40/GREM2/SHH/CC2D2A/DMRT3/DNAAF4/WIF1/BMP7/CDON/HHIP/WNT7A/BMP4/BARX1/FOXB1/SATB2/BMPR1B/CRB2/DNAI2/PAX2/LRP2/GLI1/FGF8/HOXA5/CFAP45/CFAP52/DNAAF3/NOG/CDX2/NDRG4/WT1/HES6/NTF4/TDRD5/COBL/NKD1/SIX3/MSX2/WNT3/HOXA7/DNAI1/MEIS2/HOXA2/BMP5/VAX2/DZIP1L/GLI3/DRC1/GJA1/FUT6/HOXA6/HOXA3/TP63/GDNF/HOXD4/OTX1/EYA1/LHX1/HEY1/CXXC4/HEY2/FOXJ1/ERBB4/SIX2/OOEP/WNT3A/DNAH5/SFRP2/FST/FOXG1/HOXA9/SIX1/FOLR1/HES2/TBX18/GSC/DKK1/HNF1B/HOXC10/LEFTY2/HOXC8/CHRDL1/FOXN4/HOXC9/LRP4/FOXA1,107
GO:0003002,regionalization,96/1923,430/18986,0.22325581395348837,2.2042303087472335,8.47947271215665,5.309092546126472e-14,3.394869733661983e-11,2.804815325245997e-11,AURKA/PTCH1/DLL3/TCTN1/MLLT3/FOXA2/RARG/IHH/HES5/DNAAF1/DSCAML1/HOXA4/TCF15/MSX1/MEOX1/AXIN2/CFAP53/DNAH11/ROBO2/LEF1/ENKUR/CCDC40/GREM2/SHH/CC2D2A/DMRT3/DNAAF4/WIF1/CDON/HHIP/WNT7A/BMP4/BARX1/FOXB1/BMPR1B/CRB2/DNAI2/PAX2/LRP2/GLI1/FGF8/HOXA5/CFAP45/CFAP52/DNAAF3/NOG/CDX2/NDRG4/WT1/HES6/NTF4/TDRD5/COBL/NKD1/SIX3/MSX2/WNT3/HOXA7/DNAI1/HOXA2/VAX2/DZIP1L/GLI3/DRC1/GJA1/HOXA6/HOXA3/TP63/GDNF/HOXD4/OTX1/LHX1/HEY1/CXXC4/HEY2/FOXJ1/SIX2/WNT3A/DNAH5/SFRP2/FOXG1/HOXA9/SIX1/FOLR1/HES2/TBX18/GSC/DKK1/HNF1B/HOXC10/LEFTY2/HOXC8/FOXN4/HOXC9/LRP4/FOXA1,96
GO:0030317,flagellated sperm motility,56/1923,196/18986,0.2857142857142857,2.820889978456281,8.602320096122039,3.291967326213107e-13,1.7222974511233116e-10,1.4229489389956557e-10,KLC3/SPACA9/BBOF1/CFAP69/EPPIN/POC1B/TEKT3/NEURL1/CFAP161/CFAP251/CFAP53/DNAH11/RIBC1/CFAP43/ENKUR/CCDC40/EFCAB6/DNAAF6/TMEM232/CFAP157/TEKT4/CATSPERD/CFAP57/TTC21A/ARMC3/CFAP58/CFAP65/TCTE1/IQUB/ROPN1B/SLC22A16/SPAG8/PACRG/LRRC23/TEKT1/ROPN1L/SPEF2/ZMYND12/CFAP221/CFAP61/CFAP45/CFAP52/DRC7/CFAP126/HOATZ/CFAP77/EFHB/DNAI1/CCDC146/RIBC2/CELF3/DRC1/TEKT2/DNAH5/CFAP47/DEFB1,56
GO:0097722,sperm motility,56/1923,196/18986,0.2857142857142857,2.820889978456281,8.602320096122039,3.291967326213107e-13,1.7222974511233116e-10,1.4229489389956557e-10,KLC3/SPACA9/BBOF1/CFAP69/EPPIN/POC1B/TEKT3/NEURL1/CFAP161/CFAP251/CFAP53/DNAH11/RIBC1/CFAP43/ENKUR/CCDC40/EFCAB6/DNAAF6/TMEM232/CFAP157/TEKT4/CATSPERD/CFAP57/TTC21A/ARMC3/CFAP58/CFAP65/TCTE1/IQUB/ROPN1B/SLC22A16/SPAG8/PACRG/LRRC23/TEKT1/ROPN1L/SPEF2/ZMYND12/CFAP221/CFAP61/CFAP45/CFAP52/DRC7/CFAP126/HOATZ/CFAP77/EFHB/DNAI1/CCDC146/RIBC2/CELF3/DRC1/TEKT2/DNAH5/CFAP47/DEFB1,56
GO:0007409,axonogenesis,97/1923,459/18986,0.2113289760348584,2.0864752672895586,7.9102622852383755,1.29397792564708e-12,6.205702468415787e-10,5.127103763287597e-10,L1CAM/UCHL1/APLP1/PTCH1/EFNB1/ROBO3/TCTN1/EPHB2/EPHB1/TRIM46/PARD6B/EDN3/KIF13B/DSCAML1/SLITRK2/SEMA6C/ROBO2/PLEKHG4/ERBB2/MAG/TSKU/ARHGAP4/SHH/PALLD/DLX5/CDK5R1/BMP7/RAC3/SLITRK6/RTN4R/SNAP25/BDNF/NTN1/KIF5A/WNT7A/ALCAM/EPHB6/SPTBN4/ETV1/FOXB1/UST/BMPR1B/RPS6KA5/PLPPR4/MT3/APOE/PAX2/CDH11/NDP/FGF8/EPHA6/KEL/NOG/CTNNA2/COBL/SLIT1/WNT3/NTNG1/NFASC/HOXA2/NPTX1/SEMA3D/PLA2G10/VAX2/GLI3/CHODL/MAP1B/GDNF/EFNA5/LHX1/XK/SEMA3E/EPHA3/CNTN2/CRABP2/CNTN1/LMX1A/EFNA2/RND2/SHOX2/GDF7/NKX6-1/EPHA10/DAB1/EPHA7/WNT3A/ISLR2/RET/FOXG1/UNC5A/ADCY1/SEMA3A/GFRA3/PLXNA4/VAX1/LGR6/LRP4,97
