ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007409,axonogenesis,76/1451,459/18986,0.1655773420479303,2.16654129298553,7.27763097800636,1.0343062892569344e-10,5.598699943747786e-7,4.758897674044275e-7,L1CAM/UCHL1/EPHB2/MAG/PARD6B/DSCAML1/KIF13B/EFNB1/WNT7A/MAP3K13/TRIM46/NR4A2/TSKU/BMP7/NEFH/DLX5/EFNB2/CRABP2/SCN11A/SLITRK2/ATP8A2/SEMA6C/ERBB2/APLP1/UST/CHODL/LHX1/RPS6KA5/ROBO3/SNAP25/CHL1/ITGA4/SHH/SLITRK6/KIF5A/DAB1/COBL/EPHB1/PAX2/PLA2G10/EPHA3/EPHA4/ROBO2/GLI3/NOG/ALCAM/BMPR1B/KIF5C/XK/SEMA6D/PLXNA4/NPTX1/LPAR3/EFNB3/FLRT3/PAX6/SLIT1/EPHA6/RND2/DRD2/EPHA7/LHX2/FSTL4/CNTN1/NTNG1/SLITRK4/TUBB2B/PAK3/SEMA3D/RELN/NRXN3/CNTN5/MT3/FOXB1/LGR6/LRP4,76
GO:0016064,immunoglobulin mediated immune response,42/1451,209/18986,0.20095693779904306,2.6294751351155283,6.813870878670105,5.8008163551905645e-9,7.2407858755266765e-6,6.15467151437127e-6,MLH1/SUSD4/TRAF3IP2/CR2/HPX/C4BPB/SVEP1/IL9R/CD27/IGHV2-70/TNF/IGHV1-69/IGHV4-34/IGHG3/IGHV3-13/IGHV3-20/C4BPA/IGHV3-21/IGHV3-53/IGHV4-39/IGLC2/IGHV1-18/IGHV3-30/IGHG4/IGHV4-31/IGHM/IGHV2-5/IGHV5-51/IGHV3-66/IGHV4-61/IGLL5/IGHG2/IGHV1-24/IGHV1-69D/IGHA1/IGHG1/IGHV3-15/IGHV3-23/IGHV3-11/IGHV4-4/IGHV3-43/IGHV1-3,42
GO:0001654,eye development,66/1451,411/18986,0.16058394160583941,2.101203801053389,6.492475558420655,6.316366147650478e-9,7.2407858755266765e-6,6.15467151437127e-6,EPHB2/CLDN19/THRB/TGIF2/RARG/WNT7A/PDE6B/HES5/CELF4/SLC1A1/CRB2/PLAAT1/TSKU/BIRC7/BMP7/ALDH1A3/CPAMD8/FJX1/SOX11/VIM/ATP8A2/SLC39A5/IHH/LHX1/COL8A2/SIX3/TULP1/SHH/SLITRK6/ATP2B2/EPHB1/TUB/PAX2/MYOM2/MEIS2/WT1/GLI3/RBP4/BMPR1B/HSF4/CRYAB/PXDN/FOXC2/PAX6/PDGFRA/TH/SAMD11/FASLG/DRD2/SDK1/WNT2/PRSS56/WNT6/LHX2/SDK2/FAT3/FOXF2/SLC17A7/FREM2/GPM6A/GNGT1/AQP5/DCX/TFAP2B/CRYBA4/ADAMTS18,66
GO:0035725,sodium ion transmembrane transport,39/1451,188/18986,0.2074468085106383,2.714393595026174,6.795474065595088,7.972332190797426e-9,7.2407858755266765e-6,6.15467151437127e-6,SLC6A12/SLC6A11/SLC6A13/TRPM4/WNK3/FGF12/SCN8A/SCN4A/GRIN1/PTPN3/SLC8A1/RANGRF/SLC38A1/PCSK9/SLC5A1/SCN11A/CNGB1/SCN2B/MCOLN3/SLC12A2/SLC6A14/TRPM5/FXYD6/NOS1/HCN4/SCN3B/SLC6A2/TESC/WNK4/GRIN2A/SCN5A/SLC13A5/SLC12A3/SLC17A7/SLC23A1/GRP/SCN7A/SCN2A/SCNN1B,39
GO:0006814,sodium ion transport,47/1451,251/18986,0.18725099601593626,2.450136051246427,6.652806368296249,7.974447832616591e-9,7.2407858755266765e-6,6.15467151437127e-6,SLC6A12/SLC6A11/SLC6A13/TRPM4/WNK3/NKAIN4/FGF12/SCN8A/CLCNKB/SCN4A/GRIN1/PTPN3/SLC8A1/RANGRF/SLC38A1/PCSK9/SLC5A1/SCN11A/CNGB1/SLC38A3/SCN2B/MCOLN3/SLC12A2/SLC6A14/TRPM5/FXYD6/NOS1/HCN4/ATP6V1B1/SCN3B/SLC6A2/TESC/WNK4/GRIN2A/SCN5A/NKAIN1/SLC13A5/SLC12A3/DRD2/CNGA4/CNTN1/SLC17A7/SLC23A1/GRP/SCN7A/SCN2A/SCNN1B,47
GO:0019724,B cell mediated immunity,42/1451,212/18986,0.19811320754716982,2.592265581316724,6.706426248753006,9.006625949107264e-9,7.2407858755266765e-6,6.15467151437127e-6,MLH1/SUSD4/TRAF3IP2/CR2/HPX/C4BPB/SVEP1/IL9R/CD27/IGHV2-70/TNF/IGHV1-69/IGHV4-34/IGHG3/IGHV3-13/IGHV3-20/C4BPA/IGHV3-21/IGHV3-53/IGHV4-39/IGLC2/IGHV1-18/IGHV3-30/IGHG4/IGHV4-31/IGHM/IGHV2-5/IGHV5-51/IGHV3-66/IGHV4-61/IGLL5/IGHG2/IGHV1-24/IGHV1-69D/IGHA1/IGHG1/IGHV3-15/IGHV3-23/IGHV3-11/IGHV4-4/IGHV3-43/IGHV1-3,42
GO:0150063,visual system development,66/1451,415/18986,0.15903614457831325,2.080951234296248,6.404697567128042,9.363661764028585e-9,7.2407858755266765e-6,6.15467151437127e-6,EPHB2/CLDN19/THRB/TGIF2/RARG/WNT7A/PDE6B/HES5/CELF4/SLC1A1/CRB2/PLAAT1/TSKU/BIRC7/BMP7/ALDH1A3/CPAMD8/FJX1/SOX11/VIM/ATP8A2/SLC39A5/IHH/LHX1/COL8A2/SIX3/TULP1/SHH/SLITRK6/ATP2B2/EPHB1/TUB/PAX2/MYOM2/MEIS2/WT1/GLI3/RBP4/BMPR1B/HSF4/CRYAB/PXDN/FOXC2/PAX6/PDGFRA/TH/SAMD11/FASLG/DRD2/SDK1/WNT2/PRSS56/WNT6/LHX2/SDK2/FAT3/FOXF2/SLC17A7/FREM2/GPM6A/GNGT1/AQP5/DCX/TFAP2B/CRYBA4/ADAMTS18,66
GO:0006813,potassium ion transport,46/1451,248/18986,0.18548387096774194,2.4270136279762564,6.506964923067047,1.5573008097003364e-8,1.05370866036349e-5,8.956528735789698e-6,KCNK9/GCK/KCNS1/LRRC26/KCNJ12/KCNT1/KCNIP3/KCND1/KCNK6/TMEM38A/KCNH2/CNGB1/SLC12A5/MCOLN3/SLC12A2/KCNN2/TRPM5/KCNJ4/KCNE4/KCNG1/FXYD6/SNAP25/KCNQ3/KCNT2/KCNK12/KCNRG/NOS1/HCN4/KCNJ16/KCND3/KCNK2/ADRA2A/KCNK3/KCNN4/WNK4/KCNK15/HPN/GAL/KCNMB4/SLC12A3/ACTN2/DRD2/SLC1A3/CNGA4/SLC17A7/GRP,46
GO:0048880,sensory system development,66/1451,422/18986,0.15639810426540285,2.046433085860054,6.253426217199417,1.8327050366958597e-8,1.1022702626260765e-5,9.369302591108308e-6,EPHB2/CLDN19/THRB/TGIF2/RARG/WNT7A/PDE6B/HES5/CELF4/SLC1A1/CRB2/PLAAT1/TSKU/BIRC7/BMP7/ALDH1A3/CPAMD8/FJX1/SOX11/VIM/ATP8A2/SLC39A5/IHH/LHX1/COL8A2/SIX3/TULP1/SHH/SLITRK6/ATP2B2/EPHB1/TUB/PAX2/MYOM2/MEIS2/WT1/GLI3/RBP4/BMPR1B/HSF4/CRYAB/PXDN/FOXC2/PAX6/PDGFRA/TH/SAMD11/FASLG/DRD2/SDK1/WNT2/PRSS56/WNT6/LHX2/SDK2/FAT3/FOXF2/SLC17A7/FREM2/GPM6A/GNGT1/AQP5/DCX/TFAP2B/CRYBA4/ADAMTS18,66
GO:0043010,camera-type eye development,58/1451,362/18986,0.16022099447513813,2.096454721643675,6.058911761395407,5.661335134286482e-8,3.0644807081892725e-5,2.604810091785917e-5,EPHB2/CLDN19/THRB/TGIF2/RARG/WNT7A/PDE6B/HES5/CELF4/SLC1A1/CRB2/PLAAT1/TSKU/BIRC7/BMP7/ALDH1A3/FJX1/SOX11/VIM/ATP8A2/IHH/LHX1/COL8A2/SIX3/TULP1/SHH/SLITRK6/ATP2B2/EPHB1/TUB/PAX2/MYOM2/WT1/GLI3/RBP4/BMPR1B/HSF4/CRYAB/FOXC2/PAX6/PDGFRA/TH/SAMD11/DRD2/SDK1/WNT2/PRSS56/WNT6/LHX2/SDK2/FAT3/FOXF2/SLC17A7/GPM6A/AQP5/DCX/TFAP2B/CRYBA4,58
