ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0003341,cilium movement,64/667,258/18986,0.24806201550387597,7.061027625722022,18.703709670355703,2.782334834950682e-36,1.1235068063530854e-32,1.0774957745035326e-32,SPAG17/KLC3/MEIG1/DNAH9/DNAI4/PACRG/EFCAB6/CFAP58/DNAH6/SPAG16/CCDC65/DNAI3/HYDIN/CFAP70/CFAP43/CFAP53/DNAH7/CFAP221/HOATZ/TEKT3/ARMC3/TMEM232/CFAP251/DNAI2/CFAP57/TEKT1/EFHB/ENKUR/DRC1/EPPIN/DNAH10/DNAAF1/DNAH3/CFAP54/SPAG8/DNAH2/TTLL9/ROPN1B/CFAP161/NME8/EFHC2/DNAAF6/DNAH5/RSPH9/CFAP61/GAS2L2/DRC7/CELF3/CFAP52/CFAP46/CFAP65/DNALI1/DNAI1/CFAP91/TCTE1/CATSPERD/CFAP100/TEKT4/RGN/RSPH4A/TTC29/CFAP73/ROPN1L/CFAP77,64
GO:0001539,cilium or flagellum-dependent cell motility,54/667,218/18986,0.24770642201834864,7.0509057397906565,17.14576920067325,1.0700105363238533e-30,1.4402341818919064e-27,1.3812521975913883e-27,KLC3/MEIG1/DNAH9/PACRG/EFCAB6/CFAP58/DNAH6/SPAG16/CCDC65/DNAI3/CFAP43/CFAP53/DNAH7/CFAP221/HOATZ/TEKT3/ARMC3/TMEM232/CFAP251/CFAP57/TEKT1/EFHB/ENKUR/DRC1/EPPIN/DNAH10/DNAH3/CFAP54/SPAG8/DNAH2/TTLL9/ROPN1B/CFAP161/NME8/EFHC2/DNAAF6/DNAH5/RSPH9/CFAP61/GAS2L2/DRC7/CELF3/CFAP52/CFAP46/CFAP65/DNALI1/DNAI1/TCTE1/CATSPERD/TEKT4/RGN/RSPH4A/ROPN1L/CFAP77,54
GO:0060285,cilium-dependent cell motility,54/667,218/18986,0.24770642201834864,7.0509057397906565,17.14576920067325,1.0700105363238533e-30,1.4402341818919064e-27,1.3812521975913883e-27,KLC3/MEIG1/DNAH9/PACRG/EFCAB6/CFAP58/DNAH6/SPAG16/CCDC65/DNAI3/CFAP43/CFAP53/DNAH7/CFAP221/HOATZ/TEKT3/ARMC3/TMEM232/CFAP251/CFAP57/TEKT1/EFHB/ENKUR/DRC1/EPPIN/DNAH10/DNAH3/CFAP54/SPAG8/DNAH2/TTLL9/ROPN1B/CFAP161/NME8/EFHC2/DNAAF6/DNAH5/RSPH9/CFAP61/GAS2L2/DRC7/CELF3/CFAP52/CFAP46/CFAP65/DNALI1/DNAI1/TCTE1/CATSPERD/TEKT4/RGN/RSPH4A/ROPN1L/CFAP77,54
GO:0060294,cilium movement involved in cell motility,53/667,215/18986,0.24651162790697675,7.01689620306126,16.93032835308412,4.942765507561287e-30,4.98972177988312e-27,4.785377447978415e-27,KLC3/MEIG1/DNAH9/PACRG/EFCAB6/CFAP58/DNAH6/SPAG16/DNAI3/CFAP43/CFAP53/DNAH7/CFAP221/HOATZ/TEKT3/ARMC3/TMEM232/CFAP251/CFAP57/TEKT1/EFHB/ENKUR/DRC1/EPPIN/DNAH10/DNAH3/CFAP54/SPAG8/DNAH2/TTLL9/ROPN1B/CFAP161/NME8/EFHC2/DNAAF6/DNAH5/RSPH9/CFAP61/GAS2L2/DRC7/CELF3/CFAP52/CFAP46/CFAP65/DNALI1/DNAI1/TCTE1/CATSPERD/TEKT4/RGN/RSPH4A/ROPN1L/CFAP77,53
GO:0007018,microtubule-based movement,71/667,480/18986,0.14791666666666667,4.210413543228386,13.593855681836738,3.4222164046121444e-25,2.7637819683647677e-22,2.650596663698543e-22,SPAG17/KLC3/MEIG1/DNAH9/DNAI4/PACRG/DYNLRB2/EFCAB6/KIF6/CFAP58/DNAH6/SPAG16/CCDC65/DNAI3/HYDIN/CFAP70/CFAP43/CFAP53/DNAH7/CFAP221/HOATZ/TEKT3/ARMC3/TMEM232/CFAP251/DNAI2/CFAP57/TEKT1/EFHB/ENKUR/DRC1/EPPIN/DNAH10/DNAH12/DNAAF1/DNAH3/CFAP54/SPAG8/DNAH2/TTLL9/ROPN1B/CFAP161/NEFH/NME8/EFHC2/DNAAF6/DNAH5/RSPH9/CFAP61/GAS2L2/KIF19/DRC7/CELF3/CFAP52/CFAP46/CFAP65/FMN2/DNALI1/DNAI1/CFAP91/TCTE1/CATSPERD/CFAP100/TEKT4/RGN/RSPH4A/TTC29/TRIM58/CFAP73/ROPN1L/CFAP77,71
GO:0035082,axoneme assembly,32/667,105/18986,0.3047619047619048,8.67497679731563,15.047923025108796,1.1509880858875924e-21,7.746149818023497e-19,7.428921347334127e-19,TOGARAM1/SPAG17/MEIG1/DNAI4/RP1/CFAP58/SPAG16/CCDC65/DNAI3/HYDIN/LRGUK/CFAP43/DNAH7/HOATZ/DNAI2/CFAP57/RSPH1/DRC1/DNAAF1/DNAH2/DNAAF6/DNAH5/RSPH9/DRC7/CFAP46/CFAP65/DNAI1/CFAP91/CFAP100/RSPH4A/CFAP73/CFAP74,32
GO:0030317,flagellated sperm motility,42/667,196/18986,0.21428571428571427,6.09959306061255,13.693595768954738,1.7308531008996594e-21,8.73648102679103e-19,8.378695471328745e-19,KLC3/MEIG1/PACRG/EFCAB6/CFAP58/SPAG16/CFAP43/CFAP53/CFAP221/HOATZ/TEKT3/ARMC3/TMEM232/CFAP251/CFAP57/TEKT1/EFHB/ENKUR/DRC1/EPPIN/CFAP54/SPAG8/TTLL9/ROPN1B/CFAP161/NME8/EFHC2/DNAAF6/DNAH5/CFAP61/DRC7/CELF3/CFAP52/CFAP65/DNALI1/DNAI1/TCTE1/CATSPERD/TEKT4/RGN/ROPN1L/CFAP77,42
GO:0097722,sperm motility,42/667,196/18986,0.21428571428571427,6.09959306061255,13.693595768954738,1.7308531008996594e-21,8.73648102679103e-19,8.378695471328745e-19,KLC3/MEIG1/PACRG/EFCAB6/CFAP58/SPAG16/CFAP43/CFAP53/CFAP221/HOATZ/TEKT3/ARMC3/TMEM232/CFAP251/CFAP57/TEKT1/EFHB/ENKUR/DRC1/EPPIN/CFAP54/SPAG8/TTLL9/ROPN1B/CFAP161/NME8/EFHC2/DNAAF6/DNAH5/CFAP61/DRC7/CELF3/CFAP52/CFAP65/DNALI1/DNAI1/TCTE1/CATSPERD/TEKT4/RGN/ROPN1L/CFAP77,42
GO:0001578,microtubule bundle formation,34/667,136/18986,0.25,7.116191904047976,13.658789651113697,6.955591642889596e-20,3.1207421171097986e-17,2.992938205168518e-17,TOGARAM1/SPAG17/MEIG1/DNAI4/RP1/CFAP58/SPAG16/CCDC65/DNAI3/HYDIN/LRGUK/CFAP43/DNAH7/HOATZ/DNAI2/CFAP57/RSPH1/DRC1/DNAAF1/DNAH2/DNAAF6/DNAH5/RSPH9/GAS2L2/DRC7/CFAP46/MTCL1/CFAP65/DNAI1/CFAP91/CFAP100/RSPH4A/CFAP73/CFAP74,34
GO:0016064,immunoglobulin mediated immune response,39/667,209/18986,0.18660287081339713,5.311607354217628,11.959597956613637,8.08470288894691e-18,3.2646030265567626e-15,3.1309075714142827e-15,MLH1/CFI/C8B/FCER1A/IGHG1/C4BPA/IGHG3/IGHM/C6/C3/IGHG4/IGHV4-39/IGHG2/IGLC2/IGLL5/IGHV4-34/IGHV1-69/IGKC/IGHV2-5/IGHV5-51/IGHV3-21/IGHV1-24/IGHV3-23/IGHV3-66/IGHV3-30/IGHV2-70/IGHV3-20/IGHV3-53/IGHV4-59/IGHV2-26/IGHV1-69D/IGHV1-18/IGHV4-28/IGHV3-48/IGHV3-33/IGHV4-61/IGLC7/IGHV4-31/IGHV3-7,39
