category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
NA,NA,hsa04082,Neuroactive ligand signaling,48/950,199/9416,0.24120603015075376,2.3907326104205238,6.642142909920903,5.712821079928556e-9,1.9252207039359236e-6,1.557495431264733e-6,6539/6540/10681/6538/2901/5368/147/115/111/2905/2564/55879/6505/151/134/5028/23236/5332/6506/2902/43/9934/6530/2914/2743/2904/1136/63910/136/6536/2918/150/3359/1129/5031/2784/2568/116444/3362/6571/2567/154/2556/57030/107/4986/5582/2891,48
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,65/950,371/9416,0.1752021563342318,1.7365300042559229,4.848483762380877,5.343158675455359e-6,6.25299060389171e-4,5.058643031104023e-4,2901/5368/147/283869/6750/1902/2905/6753/10874/2564/55879/1908/151/134/5028/3640/554/797/10161/2902/9934/7253/2914/7068/10888/4923/2743/117/5644/170589/2904/1136/136/2918/150/1129/796/5031/165829/130576/5731/51083/1268/623/339403/5340/2568/116444/4922/3362/5697/2740/6751/2567/3814/154/2696/887/2556/7200/56923/4986/186/5645/2891,65
NA,NA,hsa04081,Hormone signaling,44/950,219/9416,0.2009132420091324,1.9913674597452535,4.972404566461017,5.566460478241879e-6,6.25299060389171e-4,5.058643031104023e-4,10681/5368/147/115/6750/111/4881/30061/2099/6753/5295/9630/151/8660/554/23236/797/4093/5332/7253/7068/10411/658/1734/150/796/3481/341208/117247/2784/2740/6751/1733/154/4842/2696/887/7200/57817/268/3479/107/4986/186,44
Cellular Processes,Cell motility,hsa04814,Motor proteins,40/950,194/9416,0.20618556701030927,2.043624525230602,4.920003540212686,7.710963270580226e-6,6.496486555463841e-4,5.255630229158628e-4,11004/7138/55930/147700/10382/3833/146909/1770/24137/4648/9493/10112/55582/79819/3797/83657/23303/547/7137/1062/84617/201625/8701/196385/55567/3798/1768/56171/126820/1780/64446/112714/55083/113457/124602/27019/57644/7140/1767/84700,40
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,16/950,49/9416,0.32653061224489793,3.2364339419978516,5.257589658400009,1.3706004835674718e-5,9.237847259244761e-4,7.473379478820531e-4,8787/111/2905/90993/148327/8851/2902/627/2904/4129/1644/7054/84152/116444/6571/2891,16
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,47/950,254/9416,0.18503937007874016,1.8340323249067552,4.513749261935963,2.637592994378698e-5,0.0014814480651760352,0.0011984852377966366,6261/147/115/2905/6546/26281/9630/100130933/113026/2261/23236/2064/774/5332/2902/810/4923/8817/80310/491/2904/136/2253/9965/1129/5731/2248/623/2249/779/55283/2668/116444/3362/6543/5156/154/4842/2066/887/2264/844/91807/5979/51806/107/5582,47
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,32/950,158/9416,0.20253164556962025,2.007408394403731,4.2776805924718415,8.817895977743514e-5,0.004245187063570806,0.0034343384334369477,9700/1869/4193/898/1026/994/113130/699/1029/991/7272/9319/10403/1870/995/5347/90381/993/9133/29945/9088/4998/9232/151648/890/8317/27127/8318/2810/10912/4171/8900,32
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,17/950,63/9416,0.2698412698412698,2.6745530492898912,4.467109011032283,1.1511078239968486e-4,0.004849041708586725,0.003922854294936629,1026/5727/11211/8313/51176/6932/6469/64399/7476/652/80326/2735/10912/7473/2737/8324/89780,17
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,41/950,226/9416,0.18141592920353983,1.7981183046110853,4.068146348726203,1.3407557883291613e-4,0.005020385562965859,0.004061470750611145,5727/115/6750/111/4881/2905/1908/5295/7137/1262/90993/134/148327/5881/2902/810/7253/627/64399/1258/491/10411/117/170589/2904/2735/3776/1129/84152/2737/779/116444/3362/2740/6751/154/2696/268/51806/107/2891,41
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,12/950,37/9416,0.32432432432432434,3.214566145092461,4.521099689507987,1.7603904181576056e-4,0.005336855986395622,0.004317493988681763,3242/220074/130/3081/4129/1644/1621/7054/218/316/126/125,12
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,25/950,116/9416,0.21551724137931033,2.1361161524500907,4.124231998340828,1.8485981675867206e-4,0.005336855986395622,0.004317493988681763,10681/2901/115/111/81539/2905/6505/5321/23236/5332/6506/2902/2914/22941/2904/9455/2918/10991/2784/116444/57030/107/50944/5582/2891,25
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,23/950,103/9416,0.22330097087378642,2.2132652018395502,4.147270716561348,1.900364149458382e-4,0.005336855986395622,0.004317493988681763,91522/6546/6505/1302/1298/1296/340267/1297/1286/1299/5644/1285/1308/169044/84570/81578/3783/117247/4311/6519/6543/136227/5645,23
