category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
NA,NA,hsa04082,Neuroactive ligand signaling,36/688,199/9416,0.18090452261306533,2.4758677106462548,5.907805492228801,2.9474447244724687e-7,9.87393982698277e-5,8.190793760639282e-5,6539/6538/6540/2564/5368/2901/2902/115/10681/147/55879/6505/111/136/2567/2904/2912/3362/151/2556/1143/150/3359/9934/6530/2903/2914/5582/6572/6506/1813/1129/6507/57030/2792/2568,36
Metabolism,Glycan biosynthesis and metabolism,hsa00512,Mucin type O-glycan biosynthesis,13/688,36/9416,0.3611111111111111,4.9421834625323,6.6532474385959715,7.234856039308801e-7,1.2118383865842242e-4,1.0052642075671177e-4,55568/728819/79695/8693/2650/9245/26290/79623/114805/64409/10331/55808/57452,13
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,22/688,103/9416,0.21359223300970873,2.9232332354933392,5.510014970717729,3.828385263386238e-6,3.8833319660621393e-4,3.221365715759324e-4,6546/1297/1302/6505/1286/1285/5644/1298/84570/117247/136227/1299/81578/1296/169044/1308/23428/11136/3783/91522/340267/5645,22
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,20/688,89/9416,0.2247191011235955,3.0755160700287427,5.523280860234348,4.6368142878353905e-6,3.8833319660621393e-4,3.221365715759324e-4,6539/6538/6540/2564/115/10681/55879/81539/773/111/57468/10991/2567/2556/778/2571/774/5582/2792/2568,20
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,35/688,226/9416,0.15486725663716813,2.1195204774644987,4.782726188380315,1.6600079840390017e-5,0.0011122053493061311,9.226149637606242e-4,6750/4881/2902/115/8503/90993/268/148327/64399/111/6751/1258/27198/489/10411/2904/7137/3362/2735/491/2740/10021/778/3776/7253/492/5295/2737/2903/84152/1813/1129/1262/5350/117,35
NA,NA,hsa04081,Hormone signaling,34/688,219/9416,0.1552511415525114,2.124774344270999,4.7283691850485186,2.0750365731178753e-5,0.0011585620866574804,9.610695707072265e-4,6750/4881/5368/7068/115/8503/10681/147/2099/268/554/111/8660/9630/6751/3481/117247/341208/10411/151/4093/4842/2740/7253/150/5295/6753/658/1734/797/1813/796/2792/1733,34
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,48/688,371/9416,0.1293800539083558,1.7707014354666835,4.252221211863593,6.64656096851181e-5,0.003180854177787795,0.0026386347303565686,6750/2564/5368/2901/2902/7068/147/55879/165829/554/10874/6751/136/5644/133/1902/2567/130576/2904/2912/64106/3362/151/84634/2740/5731/2556/1143/7253/150/4923/9934/283869/1268/6753/2903/51083/2914/23566/797/1813/1129/27334/796/2922/5645/117/2568,48
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,19/688,100/9416,0.19,2.600348837209302,4.516967140359431,9.552301092318324e-5,0.004000026082408298,0.0033181677478579447,53832/8743/9547/4283/29949/58985/6367/10563/8794/2833/6370/6369/2921/7124/6357/1232/6356/6364/3577,19
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,11/688,41/9416,0.2682926829268293,3.671866137266024,4.81357783272767,1.2154920146001187e-4,0.00452433138767822,0.003753098150344226,2564/2902/55879/773/2567/2904/2556/774/2903/57030/2568,11
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,14/688,63/9416,0.2222222222222222,3.041343669250646,4.56412937373429,1.4038783970554266e-4,0.004702992630135679,0.003901304177080344,1643/1026/80326/7476/64399/6469/2735/8324/11211/2737/51176/7472/7475/7481,14
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,12/688,49/9416,0.24489795918367346,3.351684859990508,4.633657352263002,1.5677401844932165e-4,0.004774481470956614,0.0039606067818776,8787/2902/90993/148327/111/2904/2912/2903/1644/84152/7054/1813,12
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,39/688,298/9416,0.13087248322147652,1.7911268924613704,3.8962920125050697,2.5104484372129185e-4,0.0070083352205527315,0.005813670065124654,53832/1271/268/655/8743/1440/338376/9547/8808/3581/4283/10663/658/29949/58985/6367/60401/939/10563/8794/2833/6370/9173/83729/6369/356/2921/3458/7124/6357/653/1232/651/608/3568/6356/6364/3577/284340,39
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,24/688,154/9416,0.15584415584415584,2.132890365448505,3.979631575242224,3.1465075870258137e-4,0.008108308012720366,0.006726137675909433,115/6546/90993/147/148327/59283/9254/111/27092/489/55799/9252/10411/5521/7137/491/778/3776/59285/492/6331/6332/5350/5522,24
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,18/688,105/9416,0.17142857142857143,2.3461794019933553,3.894452756644992,5.443855165123743e-4,0.013026367716546099,0.010805847846561415,115/6546/3679/1837/59283/9254/111/27092/489/55799/7137/3676/4842/778/59285/22801/7124/5350,18
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,19/688,115/9416,0.16521739130434782,2.2611729019211326,3.8203727726668375,6.211152890709833e-4,0.013278618581980149,0.011015099153630038,10681/773/5742/111/3781/5321/247/10411/3362/778/260293/774/3359/1644/5582/5743/242/246/2792,19
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,41/688,333/9416,0.12312312312312312,1.6850687897199526,3.5734577740008144,6.342026785423354e-4,0.013278618581980149,0.011015099153630038,4600/1026/4193/50855/898/84612/8503/80326/1297/90993/7476/388585/148327/3679/1286/1285/7059/1298/1299/4599/55502/5521/1311/3676/8324/8638/525/11211/5295/22801/245973/1740/5743/356/7124/7472/7475/54626/5649/7481/5522,41
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,19/688,116/9416,0.16379310344827586,2.2416800320769847,3.7778458224120333,6.933100803601739e-4,0.01366228687768578,0.011333366019509964,2901/2902/115/10681/81539/773/6505/111/10991/5321/2904/2912/2903/2914/5582/6506/6507/57030/2792,19
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,26/688,184/9416,0.14130434782608695,1.9338978766430737,3.5917608642118295,8.474877833851639e-4,0.01577268930189055,0.013084021918928847,3897/2048/50855/84612/8503/1947/655/1948/10500/64221/6469/2047/5295/2042/2043/6092/658/80031/91584/1949/6585/285220/2045/22854/5063/223117,26
Organismal Systems,Digestive system,hsa04970,Salivary secretion,16/688,93/9416,0.17204301075268819,2.3545886471617905,3.685683820179064,0.0010453307045003187,0.018285778636719142,0.015168721320012114,115/147/111/6558/491/4842/492/727897/3783/5582/4025/4589/362/1470/4586/1469,16
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,9/688,37/9416,0.24324324324324326,3.3290383406662474,3.985164423037215,0.0010916882768190533,0.018285778636719142,0.015168721320012114,3242/3081/130/1644/259307/7054/218/5409/126,9
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,15/688,86/9416,0.1744186046511628,2.3871011357490537,3.6279688003852257,0.0012848613407024482,0.01992337526266996,0.016527167539182624,6546/3679/1837/59283/9254/27092/489/55799/3676/4842/778/59285/22801/51176/88,15
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,23/688,160/9416,0.14375,1.9673691860465115,3.4648750711706633,0.0013084007635186241,0.01992337526266996,0.016527167539182624,3897/9080/4099/9074/149461/10686/933/84631/22871/3676/84189/9076/79679/214/201633/914/925/29851/1493/1272/22854/139065/9369,23
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,14/688,79/9416,0.17721518987341772,2.425375331174566,3.5717916444249904,0.0015742549368803747,0.022658979113714634,0.018796450859452203,6539/6538/6540/773/6505/6616/525/774/6530/245973/6572/6506/6507/57030,14
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,18/688,115/9416,0.1565217391304348,2.14216380182002,3.459867781611849,0.0016233298469526902,0.022658979113714634,0.018796450859452203,115/8503/3768/10681/90993/773/148327/111/3761/3786/1143/778/774/5295/5582/6572/1129/2792,18
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,15/688,89/9416,0.16853932584269662,2.3066370525215576,3.4771705831048547,0.001835557527235558,0.024596470864956477,0.02040367103958684,961/1297/3679/1286/1285/7059/960/1298/1299/1311/3676/22801/9899/341640/5649,15
Human Diseases,Endocrine and metabolic disease,hsa04950,Maturity onset diabetes of the young,7/688,26/9416,0.2692307692307692,3.684704830053667,3.8485526695846253,0.0020761626956901586,0.026750557809853966,0.02219056484462356,2645/3110/3170/3174/168620/5080/6927,7
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,31/688,254/9416,0.1220472440944882,1.6703442592931697,3.040651322600078,0.0032101513893694035,0.03982965612736111,0.033040154650819595,6261/2902/115/6546/147/773/9630/136/55283/2064/489/2904/3362/2066/491/4842/5731/778/774/492/4923/2903/4486/2261/5582/5156/1129/2252/5350/26281/100130933,31
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,13/688,77/9416,0.16883116883116883,2.3106312292358804,3.2420723277240175,0.0035554800551181975,0.04131920438112123,0.034275789337363735,5105/335/9415/11001/2170/5360/7314/51129/2167/4199/51703/1582/2172,13
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,14/688,86/9416,0.16279069767441862,2.22796106003245,3.211737269236633,0.003576886349410495,0.04131920438112123,0.034275789337363735,54795/2645/115/90993/148327/111/3781/6616/2740/778/3783/27345/5582/117,14
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,21/688,155/9416,0.13548387096774195,1.85423855963991,3.010669554165133,0.004286823777551649,0.04786953218266008,0.03970952551837318,1029/1026/898/115/80326/90993/7476/1030/148327/111/8324/778/3776/11211/3777/51176/51655/1583/7472/7475/7481,21
Metabolism,Amino acid metabolism,hsa00250,"Alanine, aspartate and glutamate metabolism",8/688,37/9416,0.21621621621621623,2.9591451917033313,3.352248686171097,0.004508712488779261,0.04872318334648556,0.04041766034083956,445/80150/339983/2346/2571/284716/1373/259307,8
