category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,hsa04814,Motor proteins,22/267,194/9416,0.1134020618556701,3.999227769411946,7.210688484001397,2.700103034907096e-8,7.560288497739869e-6,6.878157204710709e-6,147700/1770/79819/83657/221458/1768/126820/56171/64446/196385/201625/140469/55567/57644/146754/1767/124602/113457/7802/27019/112714/7138,22
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,26/267,298/9416,0.087248322147651,3.0768921398587334,6.223737397578825,3.109782498370377e-7,4.353695497718528e-5,3.9608808663454285e-5,10563/4283/8744/6374/6357/1237/55504/10913/8794/6356/3458/1232/652/3568/268/3579/3625/6363/83729/3592/2919/9547/284340/3627/608/3577,26
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,14/267,100/9416,0.14,4.937228464419476,6.761683761967638,7.709397472266723e-7,7.195437640782275e-5,6.546225222065078e-5,10563/4283/6374/6357/1237/8794/6356/1232/3579/6363/2919/9547/3627/3577,14
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,13/267,89/9416,0.14606741573033707,5.151201447628667,6.721664058983685,1.1749802582575386e-6,8.22486180780277e-5,7.4827690131138e-5,3426/732/1675/1361/2162/629/3053/5265/722/3075/729/718/5340,13
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,16/267,150/9416,0.10666666666666667,3.761697877652934,5.824446049411725,5.064709473227479e-6,2.8362373050073883e-4,2.580336194781158e-4,4292/1870/1869/26281/2253/2248/1496/8313/2254/7475/51384/2249/9965/1045/89780/7481,16
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,15/267,148/9416,0.10135135135135136,3.57424840570908,5.392215949254483,1.86552045119864e-5,8.705762105593653e-4,7.920279810352121e-4,1870/1869/26281/2253/2248/8313/2254/7475/3815/23493/51384/2249/9965/89780/7481,15
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,30/267,480/9416,0.0625,2.204119850187266,4.625915906794874,3.672717186786752e-5,0.001469086874714701,0.001336537683011119,147700/1770/6300/1768/489/56171/64446/779/196385/201625/8313/810/55567/146754/4744/1767/7475/27121/113457/51384/7802/27019/627/112714/89780/2903/7481/5630/51806/2877,30
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,15/267,178/9416,0.08426966292134831,2.971846989016538,4.537046317418501,1.5786091656999903e-4,0.005525132079949966,0.005026623922360496,147495/6425/4316/8313/25805/6423/7475/27121/85407/51384/89780/7481/147111/1501/11197,15
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,13/267,144/9416,0.09027777777777778,3.1837286724927174,4.510993383343358,2.1935047182492558e-4,0.006824236901219907,0.00620851627855345,6300/5013/3211/8313/7475/652/3625/51384/83729/5080/1852/89780/7481,13
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,10/267,99/9416,0.10101010101010101,3.562213899292551,4.377981392760853,0.00047966770682505993,0.013430695791101678,0.012218903689648898,3426/1675/629/3075/8689/3881/718/25984/820/5340,10
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,17/267,254/9416,0.06692913385826772,2.3603173198855765,3.7544032857449143,8.920238886810786e-4,0.02270606262097291,0.02065739531682498,26281/3269/2253/489/2248/100130933/492/779/810/2254/91807/2249/9965/2668/2903/777/51806,17
Human Diseases,Cancer: specific types,hsa05218,Melanoma,8/267,73/9416,0.1095890410958904,3.8647580934790415,4.197446696832265,0.001026162310997458,0.02394378725660735,0.021783445549244287,1870/1869/26281/2253/2248/2254/2249/9965,8
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,16/267,238/9416,0.06722689075630252,2.3708179901173954,3.659091133903058,0.0011999639084430322,0.025845376489542236,0.02351346282131286,5923/26281/2253/2248/57144/810/2254/51365/3815/627/2249/26279/9965/2903/5320/51806,16
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,9/267,94/9416,0.09574468085106383,3.37652402581879,3.9557657487725613,0.0013427287620568279,0.026854575241136557,0.02443160604644755,6300/6374/6356/3458/2919/3627/4586/4312/4314,9
