Gene,Coefficient,Class,Lambda,Absolute_Coefficient
L1CAM,0.5513136335049963,CN_high,lambda.1se,0.5513136335049963
BX322639.1,0.40114922892165816,CN_high,lambda.1se,0.40114922892165816
AC009237.3,0.22767660440720494,CN_high,lambda.1se,0.22767660440720494
AC092969.1,0.15481077437538102,CN_high,lambda.1se,0.15481077437538102
ACTL8,0.10817894943848405,CN_high,lambda.1se,0.10817894943848405
HIF3A,0.09898015855709037,CN_high,lambda.1se,0.09898015855709037
CLDN9,0.08871866286601979,CN_high,lambda.1se,0.08871866286601979
SPDEF,-0.05604419416669585,CN_high,lambda.1se,0.05604419416669585
IGSF1,0.046894575041878675,CN_high,lambda.1se,0.046894575041878675
DNAH9,-0.01785125876493223,CN_high,lambda.1se,0.01785125876493223
RNF212,0.011818542893218428,CN_high,lambda.1se,0.011818542893218428
SST,0.010481941614817422,CN_high,lambda.1se,0.010481941614817422
BARX1,-0.2970718196428907,CN_low,lambda.1se,0.2970718196428907
ELFN1-AS1,-0.1916573218632915,CN_low,lambda.1se,0.1916573218632915
PRR9,0.1829829239885529,CN_low,lambda.1se,0.1829829239885529
DHRS2,-0.16962990336624512,CN_low,lambda.1se,0.16962990336624512
CXCL13,-0.16942757209673778,CN_low,lambda.1se,0.16942757209673778
CLIC6,0.15779803343419646,CN_low,lambda.1se,0.15779803343419646
XG,0.15576402473049933,CN_low,lambda.1se,0.15576402473049933
AC013724.1,0.1516992283094926,CN_low,lambda.1se,0.1516992283094926
CD8B2,0.15087141760825956,CN_low,lambda.1se,0.15087141760825956
SPAG17,0.09355957556831201,CN_low,lambda.1se,0.09355957556831201
IGHG1,-0.08598185758467704,CN_low,lambda.1se,0.08598185758467704
CRYM,0.07927467604744148,CN_low,lambda.1se,0.07927467604744148
KLK4,0.07254875477486358,CN_low,lambda.1se,0.07254875477486358
CXCL5,0.012299228697484092,CN_low,lambda.1se,0.012299228697484092
RGS22,-0.19160367294853164,Hypermutated,lambda.1se,0.19160367294853164
SDR42E1,-0.15145755511844572,Hypermutated,lambda.1se,0.15145755511844572
CXCL13,0.13764024834781416,Hypermutated,lambda.1se,0.13764024834781416
NEFH,-0.13644365265790756,Hypermutated,lambda.1se,0.13644365265790756
SLFN13,-0.12938395011770412,Hypermutated,lambda.1se,0.12938395011770412
IQCA1,-0.1100474625553648,Hypermutated,lambda.1se,0.1100474625553648
IGSF1,-0.10871625560289516,Hypermutated,lambda.1se,0.10871625560289516
KCNJ15,-0.09398241461781122,Hypermutated,lambda.1se,0.09398241461781122
PLD5,0.0742393017113069,Hypermutated,lambda.1se,0.0742393017113069
HOXC11,0.0652805443910631,Hypermutated,lambda.1se,0.0652805443910631
LIX1,-0.06149384784564393,Hypermutated,lambda.1se,0.06149384784564393
KBTBD12,-0.044713947697106744,Hypermutated,lambda.1se,0.044713947697106744
AMH,0.04221488872322038,Hypermutated,lambda.1se,0.04221488872322038
SMIM31,0.030739470402114246,Hypermutated,lambda.1se,0.030739470402114246
CAPN6,0.019758397722627233,Hypermutated,lambda.1se,0.019758397722627233
FAM3B,-2.0860406065710543e-4,Hypermutated,lambda.1se,2.0860406065710543e-4
