Gene,Coefficient,Class,Lambda,Absolute_Coefficient
BX322639.1,0.4671964542723605,CN_high,lambda.min,0.4671964542723605
L1CAM,0.42346179916195864,CN_high,lambda.min,0.42346179916195864
AC009237.3,0.2877699267200849,CN_high,lambda.min,0.2877699267200849
ACTL8,0.18793863815285208,CN_high,lambda.min,0.18793863815285208
CLDN9,0.17080372180283881,CN_high,lambda.min,0.17080372180283881
CFAP46,-0.16950599824246132,CN_high,lambda.min,0.16950599824246132
MYT1,0.12818420335435077,CN_high,lambda.min,0.12818420335435077
ZFPM2-AS1,0.12367820520211095,CN_high,lambda.min,0.12367820520211095
AC092969.1,0.11963061685156638,CN_high,lambda.min,0.11963061685156638
PPARGC1A,0.11721295857037012,CN_high,lambda.min,0.11721295857037012
SST,0.11629145453013655,CN_high,lambda.min,0.11629145453013655
LBP,0.07546429787003986,CN_high,lambda.min,0.07546429787003986
HIF3A,0.05917665627176208,CN_high,lambda.min,0.05917665627176208
DNAH9,-0.050198142493424844,CN_high,lambda.min,0.050198142493424844
SDR42E1,0.023319347103119947,CN_high,lambda.min,0.023319347103119947
IGSF1,0.014001468696997072,CN_high,lambda.min,0.014001468696997072
BARX1,-0.48710156774182445,CN_low,lambda.min,0.48710156774182445
PRR9,0.2902052809430687,CN_low,lambda.min,0.2902052809430687
DHRS2,-0.2692302261341276,CN_low,lambda.min,0.2692302261341276
CLIC6,0.2334732111772273,CN_low,lambda.min,0.2334732111772273
CD8B2,0.21843248287673672,CN_low,lambda.min,0.21843248287673672
ELFN1-AS1,-0.2042126009022362,CN_low,lambda.min,0.2042126009022362
AC013724.1,0.19459797410200705,CN_low,lambda.min,0.19459797410200705
CRYM,0.19097587340230615,CN_low,lambda.min,0.19097587340230615
CXCL13,-0.18377264939286012,CN_low,lambda.min,0.18377264939286012
GJB6,0.18330726457075022,CN_low,lambda.min,0.18330726457075022
IGHG1,-0.1382133825376267,CN_low,lambda.min,0.1382133825376267
KLK4,0.13447444809396708,CN_low,lambda.min,0.13447444809396708
KIF1A,-0.13282524810281054,CN_low,lambda.min,0.13282524810281054
SPAG17,0.12552715793925445,CN_low,lambda.min,0.12552715793925445
MMP3,-0.09565389890205607,CN_low,lambda.min,0.09565389890205607
CXCL5,0.08473400258309272,CN_low,lambda.min,0.08473400258309272
CECR7,-0.06091112742008335,CN_low,lambda.min,0.06091112742008335
XG,0.05926578806146086,CN_low,lambda.min,0.05926578806146086
CALCB,-0.05319673047085449,CN_low,lambda.min,0.05319673047085449
PLA2G2D,-0.017339956702967178,CN_low,lambda.min,0.017339956702967178
L1CAM,-0.011114876111377526,CN_low,lambda.min,0.011114876111377526
IGHM,-0.008222329875311645,CN_low,lambda.min,0.008222329875311645
NXPH4,-0.006958051429120585,CN_low,lambda.min,0.006958051429120585
SLFN13,-0.2796416954781719,Hypermutated,lambda.min,0.2796416954781719
KCNJ15,-0.23144451209340614,Hypermutated,lambda.min,0.23144451209340614
NEFH,-0.20833310080424963,Hypermutated,lambda.min,0.20833310080424963
RGS22,-0.19663634313502995,Hypermutated,lambda.min,0.19663634313502995
SMIM31,0.19585347068868517,Hypermutated,lambda.min,0.19585347068868517
IGSF1,-0.17483754044812716,Hypermutated,lambda.min,0.17483754044812716
SDR42E1,-0.1722048935792575,Hypermutated,lambda.min,0.1722048935792575
PLD5,0.1694892496506489,Hypermutated,lambda.min,0.1694892496506489
CXCL13,0.16212976504415424,Hypermutated,lambda.min,0.16212976504415424
AMH,0.15288187001650896,Hypermutated,lambda.min,0.15288187001650896
IQCA1,-0.14865146119261224,Hypermutated,lambda.min,0.14865146119261224
CAPN6,0.136026700723219,Hypermutated,lambda.min,0.136026700723219
IGHG4,0.13283409255383283,Hypermutated,lambda.min,0.13283409255383283
KBTBD12,-0.1183114367303995,Hypermutated,lambda.min,0.1183114367303995
FAM3B,-0.08343405387951193,Hypermutated,lambda.min,0.08343405387951193
TUNAR,-0.05054190693323414,Hypermutated,lambda.min,0.05054190693323414
HOXC11,0.04030142292462146,Hypermutated,lambda.min,0.04030142292462146
DSG3,0.017985426448175974,Hypermutated,lambda.min,0.017985426448175974
CXCL9,0.013336465099737049,Hypermutated,lambda.min,0.013336465099737049
LIX1,-0.007720419589740976,Hypermutated,lambda.min,0.007720419589740976
CCKBR,0.006911561127406246,Hypermutated,lambda.min,0.006911561127406246
