Gene,Coefficient,Class,Lambda,Absolute_Coefficient
BX322639.1,0.4671964542723605,CN_high,lambda.min,0.4671964542723605
L1CAM,0.42346179916195864,CN_high,lambda.min,0.42346179916195864
AC009237.3,0.2877699267200849,CN_high,lambda.min,0.2877699267200849
ACTL8,0.18793863815285208,CN_high,lambda.min,0.18793863815285208
CLDN9,0.17080372180283881,CN_high,lambda.min,0.17080372180283881
CFAP46,-0.16950599824246132,CN_high,lambda.min,0.16950599824246132
MYT1,0.12818420335435077,CN_high,lambda.min,0.12818420335435077
ZFPM2-AS1,0.12367820520211095,CN_high,lambda.min,0.12367820520211095
AC092969.1,0.11963061685156638,CN_high,lambda.min,0.11963061685156638
PPARGC1A,0.11721295857037012,CN_high,lambda.min,0.11721295857037012
BARX1,-0.48710156774182445,CN_low,lambda.min,0.48710156774182445
PRR9,0.2902052809430687,CN_low,lambda.min,0.2902052809430687
DHRS2,-0.2692302261341276,CN_low,lambda.min,0.2692302261341276
CLIC6,0.2334732111772273,CN_low,lambda.min,0.2334732111772273
CD8B2,0.21843248287673672,CN_low,lambda.min,0.21843248287673672
ELFN1-AS1,-0.2042126009022362,CN_low,lambda.min,0.2042126009022362
AC013724.1,0.19459797410200705,CN_low,lambda.min,0.19459797410200705
CRYM,0.19097587340230615,CN_low,lambda.min,0.19097587340230615
CXCL13,-0.18377264939286012,CN_low,lambda.min,0.18377264939286012
GJB6,0.18330726457075022,CN_low,lambda.min,0.18330726457075022
SLFN13,-0.2796416954781719,Hypermutated,lambda.min,0.2796416954781719
KCNJ15,-0.23144451209340614,Hypermutated,lambda.min,0.23144451209340614
NEFH,-0.20833310080424963,Hypermutated,lambda.min,0.20833310080424963
RGS22,-0.19663634313502995,Hypermutated,lambda.min,0.19663634313502995
SMIM31,0.19585347068868517,Hypermutated,lambda.min,0.19585347068868517
IGSF1,-0.17483754044812716,Hypermutated,lambda.min,0.17483754044812716
SDR42E1,-0.1722048935792575,Hypermutated,lambda.min,0.1722048935792575
PLD5,0.1694892496506489,Hypermutated,lambda.min,0.1694892496506489
CXCL13,0.16212976504415424,Hypermutated,lambda.min,0.16212976504415424
AMH,0.15288187001650896,Hypermutated,lambda.min,0.15288187001650896
