Gene,Importance
ELAPOR1,0.003673388763315488
CLDN9,0.0028612440994355694
AC084866.1,0.0028183687174655136
AC009237.3,0.0026317908462221364
ACTL8,0.00260595417126985
SMIM31,0.002588314021368819
CTCFL,0.0025519189000447256
ABHD12B,0.00254571898760397
L1CAM,0.0025098122079121143
SYT13,0.002503583636314702
AC013724.1,0.0023374658715198024
YBX2,0.002314966212963982
FOXA2,0.0022231237542230126
SCGB2A1,0.002214583522717685
AC092969.1,0.0021823092533911886
FGF20,0.002100168144479709
DUSP9,0.0020771840466258635
SERPINA11,0.0020437394526496948
SPDEF,0.0020355215033122896
RASGRF1,0.001971912000607945
HIF3A,0.0019386925770745868
TMEM63C,0.0018598630557778947
SDR42E1,0.0018291178019248266
SLC6A11,0.001784926104822313
AC008060.1,0.0017754247856887394
ECEL1P2,0.0017722157512267663
`ELFN1-AS1`,0.0017377828952246078
PNOC,0.001735321521225407
RGS22,0.0016798283693180735
SLFN13,0.0016435005405192667
TNNT1,0.0015925645247916215
SERPINA4,0.0015671975648008615
TFF3,0.001563263495631279
PGR,0.0015236484850436167
RSPO4,0.0015193987443939154
IGHG1,0.0015061323865616046
RNF212,0.0014670440968894895
GPRIN2,0.0014637018367070621
VGLL1,0.0014503168003836588
DNAH9,0.0014360840870884736
BX322639.1,0.0014328094431171078
CLDN6,0.001427794538858745
CD8B2,0.0014013073127963776
FGF8,0.001396954220301658
SLITRK6,0.0013676923130785488
LIX1,0.0013538471204050237
UCHL1,0.0013341008032533234
C4BPA,0.0013171444985936363
IQCA1,0.0012915606430245273
EDN3,0.0012835421623193692
IGSF1,0.0012703948496503264
SP5,0.001259435246259612
DHRS2,0.0012336172735700366
GLYATL2,0.0012192636162824198
ERICH3,0.0011999132841870824
MSX1,0.0011847671908179617
DBH,0.001153719230031699
LAMP5,0.001152712053812782
XG,0.0011459203557778147
SCGB2A2,0.0011408609321448787
KLK8,0.0011383662161091478
BARX1,0.0011316856750513864
LRRC26,0.001110741977781878
NKD1,0.0010979306569237751
LMO1,0.001057522632406399
EYA4,0.0010536032804177294
FOXI3,0.0010477621995883077
MLF1,0.0010418121982000291
NEFH,0.0010263320861800221
C1QL1,0.0010169339015190684
COLCA1,0.0010124513848039894
MYT1,0.0010084302351730805
SLC5A1,0.001000204028672173
DYNLRB2,9.744151830642771e-4
CLIC6,9.660594779367002e-4
GAD1,9.652373192191743e-4
LINC01224,9.587736288951975e-4
CECR7,9.567433922110973e-4
AL354766.2,9.499815321931444e-4
NUPR2,9.479372460687621e-4
ECRG4,9.24546646501533e-4
AL390755.2,9.201171124510628e-4
LRRIQ1,9.123031710148069e-4
CHRNA3,8.939515768686384e-4
`IGHV4-39`,8.765452852705493e-4
AC092868.1,8.722258061460704e-4
CYTL1,8.535047397334208e-4
MMP7,8.38623390463449e-4
NXPH4,8.297457290498447e-4
MAG,8.217276387491878e-4
ECEL1P1,8.190604474945746e-4
TESC,8.18397875353482e-4
FAM3B,8.05906048750074e-4
AC005725.1,8.010750878797977e-4
CNGA4,7.970942610268809e-4
PRR9,7.850950896717686e-4
AC006946.2,7.825399540117371e-4
DPEP1,7.803000949538217e-4
IGFBPL1,7.742823162837544e-4
SERPINA6,7.723199460390502e-4
KLK7,7.612447330841603e-4
ALOX12P2,7.593883500451249e-4
C10orf82,7.569998397747641e-4
WNT7A,7.551482342095257e-4
ANKFN1,7.473236469821029e-4
MROH9,7.46350224055329e-4
ERMN,7.388298122063552e-4
PNMA3,7.316669638519931e-4
CWH43,7.310080601711546e-4
CXCL13,7.0934242769498e-4
COL9A3,7.084620282701935e-4
TPH1,7.064950586318519e-4
SHISA6,7.044231590658761e-4
DMRT3,7.043809061087569e-4
CRTAC1,7.01684908502945e-4
IHH,6.927664187054872e-4
DKK4,6.865821937975934e-4
TMEM212,6.831608388728605e-4
IGF2BP2,6.816737128104782e-4
FGF3,6.793118967936429e-4
GPR158,6.773974976128552e-4
MYH7B,6.753854372641819e-4
CHL1,6.750741624457304e-4
AC005077.4,6.733957175244307e-4
CXCL14,6.716599536972485e-4
CTNNA2,6.666011563375575e-4
TUBB4A,6.550428131201662e-4
SYT5,6.51116095175827e-4
NKAIN4,6.486777431486808e-4
SST,6.392713195479378e-4
BEX5,6.38575472307054e-4
CATIP,6.344466563934679e-4
LINC02086,6.316460066727592e-4
MYOCOS,6.298058007684408e-4
OMG,6.261833895689079e-4
TKTL1,6.251861532797136e-4
SPTSSB,6.251435785596058e-4
KLK4,6.213472947898236e-4
GAL3ST3,6.20822118960565e-4
CFAP161,6.204723636912493e-4
BEST3,6.098475414719418e-4
LINC00261,6.080912631739446e-4
LINC01411,6.071952873334013e-4
KRT6A,6.000873340717476e-4
PCSK1N,5.986698075699788e-4
AZU1,5.9785846171055e-4
AGR3,5.970883605100026e-4
`PRICKLE2-DT`,5.962079533345121e-4
PCK1,5.955598137037786e-4
TSPAN8,5.954432700588905e-4
DNAAF1,5.896679231004296e-4
IGKC,5.886693324969891e-4
KCNJ12,5.818977951271213e-4
KLK6,5.788833852186741e-4
ASCL5,5.768170915709279e-4
FSTL4,5.693686959220447e-4
VWA3A,5.630177360930206e-4
`ZFPM2-AS1`,5.604936617128511e-4
ARMC3,5.603962041478243e-4
ARMC4,5.570609578921598e-4
LRRC71,5.535826340671288e-4
ITPRID1,5.529895687108517e-4
CNTFR,5.508088492218433e-4
LINC00668,5.457250548587182e-4
TMEM101,5.435851343848664e-4
DYDC2,5.395416728175468e-4
KBTBD12,5.391625026308842e-4
SCNN1G,5.37405772738427e-4
LRRC18,5.334067378015976e-4
`IGHV5-51`,5.285711746145287e-4
GSTA3,5.281210355446649e-4
STOML3,5.272150440424888e-4
`IGHV2-70`,5.265537106256313e-4
LINC01541,5.250773911063771e-4
C4BPB,5.238500492789713e-4
NOTUM,5.190308366697884e-4
VWA5B2,5.1771600430967e-4
TBX18,5.169396928210035e-4
`IGKV4-1`,5.119784426722742e-4
EDAR,5.109322955934541e-4
CXCL9,5.098545491452759e-4
BMP7,5.078476984695255e-4
ASTN1,5.048064739739355e-4
TRHDE,5.038515752624209e-4
C7orf57,4.995114080006157e-4
NDUFB4P11,4.987998800620908e-4
AL117329.1,4.953367222145233e-4
WIF1,4.95204861465798e-4
NLRP2,4.94793765325448e-4
CDHR3,4.907133941271174e-4
AC011298.1,4.886953531102683e-4
FAM81B,4.8572315421630517e-4
WNT6,4.8308347463624847e-4
PROM1,4.8128127195557326e-4
PCAT14,4.782899978418347e-4
RBP4,4.771957001240792e-4
AC026336.3,4.771482701291494e-4
SRARP,4.7702843278237575e-4
SCGB1D2,4.745511330436263e-4
RNF182,4.7434263749805705e-4
SLC47A1,4.726536507188335e-4
SCNN1B,4.6441622494962045e-4
AC025580.1,4.6416432527337625e-4
IGHM,4.6363586724497386e-4
`IGLV2-14`,4.5606690057071894e-4
LRRC3B,4.5601019297684584e-4
CHRDL2,4.5529259962647515e-4
TEKT1,4.546205228756615e-4
C11orf16,4.5294686077335355e-4
IRX3,4.5224123463708833e-4
