Gene,Importance
ELAPOR1,0.003673388763315488
CLDN9,0.0028612440994355694
AC084866.1,0.0028183687174655136
AC009237.3,0.0026317908462221364
ACTL8,0.00260595417126985
SMIM31,0.002588314021368819
CTCFL,0.0025519189000447256
ABHD12B,0.00254571898760397
L1CAM,0.0025098122079121143
SYT13,0.002503583636314702
AC013724.1,0.0023374658715198024
YBX2,0.002314966212963982
FOXA2,0.0022231237542230126
SCGB2A1,0.002214583522717685
AC092969.1,0.0021823092533911886
FGF20,0.002100168144479709
DUSP9,0.0020771840466258635
SERPINA11,0.0020437394526496948
SPDEF,0.0020355215033122896
RASGRF1,0.001971912000607945
HIF3A,0.0019386925770745868
TMEM63C,0.0018598630557778947
SDR42E1,0.0018291178019248266
SLC6A11,0.001784926104822313
AC008060.1,0.0017754247856887394
ECEL1P2,0.0017722157512267663
`ELFN1-AS1`,0.0017377828952246078
PNOC,0.001735321521225407
RGS22,0.0016798283693180735
SLFN13,0.0016435005405192667
