Gene,LASSO_Max_Absolute_Coefficient,LASSO_Coefficient,LASSO_Associated_Subtype,LASSO_Number_of_Classes,RF_Importance,RF_Rank
CLDN9,0.1708037218028388,0.1708037218028388,CN_high,1,0.00286124409943556,2
AC009237.3,0.2877699267200849,0.2877699267200849,CN_high,1,0.00263179084622213,4
ACTL8,0.18793863815285208,0.18793863815285208,CN_high,1,0.00260595417126985,5
SMIM31,0.19585347068868517,0.19585347068868517,Hypermutated,1,0.00258831402136881,6
L1CAM,0.42346179916195864,0.42346179916195864,CN_high,2,0.00250981220791211,9
AC013724.1,0.19459797410200705,0.19459797410200705,CN_low,1,0.0023374658715198,11
AC092969.1,0.11963061685156638,0.11963061685156638,CN_high,1,0.00218230925339118,15
HIF3A,0.05917665627176208,0.05917665627176208,CN_high,1,0.00193869257707458,21
SDR42E1,0.1722048935792575,-0.1722048935792575,Hypermutated,2,0.00182911780192482,23
RGS22,0.19663634313502995,-0.19663634313502995,Hypermutated,1,0.00167982836931807,29
SLFN13,0.2796416954781719,-0.2796416954781719,Hypermutated,1,0.00164350054051926,30
