Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
MLH1,2.1731103704337293,4.05821587559975,14.67550019120571,5.507534645778477e-35,1.1193513414080177e-30,68.00015233010355
EPM2AIP1,2.2379371098137923,4.318886213480384,12.541305129474967,6.361095485564076e-28,6.464145232430214e-24,52.33312755830913
ADAM32,1.9777286863560646,1.5101149633408653,9.77366044937753,3.924168314958448e-19,2.65849322777385e-15,32.29384583219425
RNLS,1.970218681394038,1.8656653762682474,9.532683844561392,2.1050178310745646e-18,1.0695595599689863e-14,30.68581873319246
CFI,2.2122436178830776,4.328366559181898,8.817585394241114,2.7605494944902924e-16,1.1221081585204142e-12,26.4094185745236
CDT1,-1.0620251940441152,5.10144708820361,-8.39753949719765,4.449540785876747e-15,1.50720778220265e-11,23.712872493807907
NFE2,2.196359963998245,1.7863478456151698,8.295824959088963,8.63375643810186e-15,2.5067495121140315e-11,22.83174709870098
SAPCD2,-1.077897866381833,5.071718175734694,-8.239705221750707,1.2423940948674139e-14,3.156302198010665e-11,22.71163988061597
TOGARAM1,1.0533128381788264,3.248553940719917,8.123408152511653,2.6303487127213457e-14,5.939911915260959e-11,21.957194082821232
RRM2,-1.1372745964171722,5.485226325580476,-8.047010092629977,4.2920894745564904e-14,8.723242648088611e-11,21.49879282043958
LINC00865,2.205076807136775,1.0722519002089461,7.9495337796926275,7.987727256559962e-14,1.4758415342029516e-10,20.63941502417054
WDR62,-1.0030881756534518,4.106426255781596,-7.822942309695343,1.7785455872194045e-13,2.7805508088190137e-10,20.13787536926715
SPAG17,2.5518129709943094,1.758036846281491,7.736016171133001,3.068918669188624e-13,4.3439332922912685e-10,19.467679454323903
TCF19,-1.0076642629557,4.335355521716278,-7.729028860661841,3.2060125656548427e-13,4.3439332922912685e-10,19.565530769899244
DNAJC12,1.9676944839581678,1.1032714967896615,7.555403645430107,9.428900821713947e-13,1.0085946331606014e-9,18.34632260406265
TMEM163,1.8223128399209403,1.146545699872538,7.538460395586266,1.0467747433236557e-12,1.0637324941654991e-09,18.244556302526195
E2F2,-1.0072935835689134,3.2436099823412823,-7.375497755495045,2.840629296802238e-12,2.4691534650294976e-9,17.449530561717616
EDN3,3.8676252145474286,2.021504449550903,7.353284644658417,3.2514898036272025e-12,2.5416645680353563e-9,17.286012402853867
RGS22,2.819945179353131,-0.26980429055496224,7.3252836785373425,3.853787971137157e-12,2.852906676623731e-9,16.80705388943971
PKMYT1,-1.013964513738578,4.537809371947168,-7.25271347792417,5.975727444605707e-12,4.187954640833324e-9,16.727404268955695
C8B,2.373444483054937,-2.73545844151602,7.226094478158737,7.014294911331782e-12,4.59866225090023e-9,15.861904253869913
AL109615.3,-1.1984478641806007,0.6554524713713243,-7.113831336173644,1.3733754173936096e-11,8.458327873669007e-9,15.772496444859057
E2F1,-1.0895228695818036,4.449879665069041,-7.096454933354748,1.5230288738932132e-11,8.503859118851366e-9,15.830243048706741
CKAP2L,-1.0396141401729433,2.760719537470899,-6.96454123272094,3.322875519191795e-11,1.4808154742224813e-8,15.077324559941314
LINC01132,1.1665505946273944,1.159514568862,6.962072070208282,3.371463748229549e-11,1.4808154742224813e-8,14.978843761220437
XG,2.296270932631211,2.2651714056736276,6.9594195185716154,3.4244404294654903e-11,1.4808154742224813e-8,15.052473529532126
ZNF717,1.5925302035330662,0.9065374696355656,6.946908704399352,3.685566095012806e-11,1.5286825574498012e-8,14.835295038880696
KIAA2012,2.2204399020652303,-1.2769471234831937,6.915951597763603,4.418972736739559e-11,1.746881621524902e-8,14.452136144484859
ULBP1,-1.7560350634262896,-0.8040373711206926,-6.914009891812305,4.469486534112128e-11,1.746881621524902e-8,14.507267676500192
ZNF300,2.155991935856894,1.7272650968656198,6.891415940697582,5.1007463137640213e-11,1.919769779276666e-8,14.586928542697002
