Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AC092969.1,4.595914426496691,-2.464888033949663,13.27089559461686,2.5320619720532887e-30,2.5730813760005522e-26,57.384305429504955
EPM2AIP1,2.521286160064312,4.318886213480384,13.277492258850184,2.4081521765664937e-30,2.5730813760005522e-26,58.254820199708135
HIF3A,4.292507083586855,0.8777132889169107,13.187930750045693,4.757803217781682e-30,3.223253086606497e-26,57.42232773821365
IGSF1,4.2412159061481365,-1.3706271048408054,12.97592077199826,2.378671069877019e-29,1.2086027706045135e-25,55.3603505610331
ZSWIM7,-0.951244086684397,4.50341809975108,-12.919789271496226,3.6400105070187967e-29,1.4795914708930008e-25,55.575896986751935
HENMT1,2.523413549407781,2.1099936063753435,12.380020912473835,2.1427216292150894e-27,7.258112398694582e-24,51.49314200533347
DNAH17-AS1,3.5771893523871685,-2.423799785370881,12.33291077289844,3.0533607769817727e-27,8.86521491876822e-24,50.49749678794507
MLH1,1.9556833913501463,4.05821587559975,12.165473563954825,1.0727371013448128e-26,2.725288605966497e-23,49.96073112860743
ELAPOR1,-5.0370012365585985,7.75023227283373,-11.882149508483549,8.917550060812404e-26,2.01378097151057e-22,47.85622006067776
LINC01936,2.529058510916126,-0.7823720316973211,11.800110960459538,1.6430151204659047e-25,3.339263930834905e-22,46.93627678310842
RNLS,2.5424476179117086,1.8656653762682471,11.779710095014993,1.9123652374858207e-25,3.533355553332893e-22,47.04078661820157
MX2,2.417225798300735,3.9279302896816506,11.744583705192277,2.4832703627329577e-25,4.205832237682053e-22,46.85420609955939
CDKN2A,3.0582715296377563,4.484867530729578,11.70358011705035,3.3678693988147244e-25,5.265275204731574e-22,46.54242451711103
CTCFL,5.69372259615349,-2.3700811707363765,11.683095670877456,3.9212291002006944e-25,5.692504302319921e-22,45.92583871398293
AC021683.1,3.4016674396308373,-1.3449342605509995,11.468252878160516,1.9256011937987173e-24,2.609061244184342e-21,44.50993264341747
NOL4L,1.2719118290623284,5.51458942927851,11.410982760758516,2.9392510723066998e-24,3.7335836745975854e-21,44.359366298592676
DDB2,-1.030077082531955,4.7889700346992035,-11.285161399641892,7.428125713264808e-24,8.880542764493761e-21,43.48351837320908
L1CAM,4.623556509264841,1.9366441973003596,11.14286932078818,2.112128864705373e-23,2.3848281692373334e-20,42.48541514404082
C10orf88B,3.0943794147878947,-2.7556488112454445,11.107126377265464,2.7444924844046944e-23,2.9357402764758433e-20,41.73445925502515
TAF9,-0.8434731211454087,5.600228681396612,-11.096470798169396,2.967219540520799e-23,3.0152884970772366e-20,42.07798979226896
