Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
MLH1,2.1731103704337293,4.05821587559975,14.67550019120571,5.507534645778476e-35,1.1193513414080176e-30,68.00015233010355
EPM2AIP1,2.2379371098137923,4.318886213480384,12.541305129474967,6.3610954855640755e-28,6.4641452324302136e-24,52.33312755830913
ADAM32,1.9777286863560648,1.5101149633408653,9.77366044937753,3.924168314958448e-19,2.65849322777385e-15,32.29384583219425
RNLS,1.970218681394038,1.8656653762682471,9.532683844561392,2.1050178310745646e-18,1.0695595599689865e-14,30.68581873319246
CFI,2.2122436178830776,4.328366559181898,8.817585394241114,2.7605494944902924e-16,1.1221081585204142e-12,26.4094185745236
CDT1,-1.0620251940441152,5.10144708820361,-8.39753949719765,4.449540785876747e-15,1.5072077822026498e-11,23.712872493807907
NFE2,2.196359963998245,1.7863478456151698,8.295824959088963,8.633756438101861e-15,2.5067495121140315e-11,22.83174709870098
SAPCD2,-1.077897866381833,5.071718175734694,-8.239705221750707,1.242394094867414e-14,3.156302198010665e-11,22.71163988061597
TOGARAM1,1.0533128381788264,3.248553940719917,8.123408152511653,2.6303487127213457e-14,5.939911915260959e-11,21.957194082821232
RRM2,-1.1372745964171722,5.485226325580476,-8.047010092629977,4.2920894745564904e-14,8.723242648088611e-11,21.49879282043958
LINC00865,2.205076807136775,1.072251900208946,7.9495337796926275,7.987727256559963e-14,1.4758415342029516e-10,20.63941502417054
CCNF,-0.9895779888443323,4.386699369092398,-7.90197783511104,1.0798893291741129e-13,1.8289725605112222e-10,20.62088894818779
WDR62,-1.0030881756534518,4.106426255781596,-7.822942309695343,1.7785455872194045e-13,2.780550808819013e-10,20.13787536926715
SPAG17,2.55181297099431,1.758036846281491,7.736016171133001,3.0689186691886243e-13,4.3439332922912685e-10,19.467679454323903
TCF19,-1.0076642629557,4.335355521716278,-7.729028860661841,3.206012565654843e-13,4.3439332922912685e-10,19.565530769899244
KIF2C,-0.9534491951617046,4.797907322020995,-7.648389316678834,5.300395527833966e-13,6.336778747511618e-10,19.0729666403484
HJURP,-0.948676327037592,4.356657109604732,-7.654286977666121,5.109559398135147e-13,6.336778747511618e-10,19.114850335253397
SPC24,-0.9938478862085582,4.768049251421122,-7.57975430311831,8.11187817777632e-13,9.159211782506995e-10,18.659749523015726
DNAJC12,1.967694483958168,1.1032714967896615,7.555403645430107,9.428900821713949e-13,1.0085946331606014e-9,18.34632260406265
TMEM163,1.8223128399209405,1.146545699872538,7.538460395586266,1.0467747433236555e-12,1.0637324941654991e-09,18.244556302526195
