Barcode,Subtype,Dataset
TCGA-A5-A0G5-01A-11R-A040-07,CN_high,Training
TCGA-A5-A0G9-01A-11R-A040-07,Hypermutated,Training
TCGA-A5-A0GA-01A-11R-A040-07,Hypermutated,Training
TCGA-A5-A0GJ-01A-11R-A040-07,CN_high,Training
TCGA-A5-A0GN-01A-11R-A040-07,CN_high,Training
TCGA-A5-A0GP-01A-11R-A040-07,Hypermutated,Training
TCGA-A5-A0GQ-01A-11R-A118-07,CN_low,Training
TCGA-A5-A0GU-01A-11R-A16W-07,CN_low,Training
TCGA-A5-A0GV-01A-31R-A16W-07,CN_low,Training
TCGA-A5-A0GW-01A-11R-A16W-07,Hypermutated,Training
TCGA-A5-A0GX-01A-11R-A040-07,CN_low,Training
TCGA-A5-A0R7-01A-31R-A16W-07,CN_high,Training
TCGA-A5-A0R8-01A-11R-A104-07,CN_low,Training
TCGA-A5-A0R9-01A-11R-A104-07,CN_low,Training
TCGA-A5-A0VP-01A-21R-A104-07,Hypermutated,Training
TCGA-A5-A0VQ-01A-11R-A104-07,Hypermutated,Training
TCGA-AJ-A23M-01A-11R-A157-07,CN_high,Training
TCGA-AP-A051-01A-21R-A00V-07,Hypermutated,Training
TCGA-AP-A052-01A-11R-A00V-07,CN_high,Training
TCGA-AP-A053-01A-21R-A00V-07,CN_high,Training
TCGA-AP-A054-01A-11R-A16W-07,Hypermutated,Training
TCGA-AP-A059-01A-21R-A118-07,Hypermutated,Training
TCGA-AP-A05A-01A-11R-A00V-07,CN_high,Training
TCGA-AP-A05D-01A-11R-A00V-07,CN_high,Training
TCGA-AP-A05J-01A-11R-A00V-07,CN_high,Training
TCGA-AP-A05N-01A-11R-A00V-07,Hypermutated,Training
TCGA-AP-A05P-01A-11R-A16W-07,CN_low,Training
TCGA-AP-A0L8-01A-11R-A040-07,CN_high,Training
TCGA-AP-A0L9-01A-11R-A040-07,CN_high,Training
TCGA-AP-A0LE-01A-11R-A104-07,Hypermutated,Training
TCGA-AP-A0LF-01A-11R-A118-07,CN_high,Training
TCGA-AP-A0LI-01A-11R-A040-07,CN_high,Training
TCGA-AP-A0LJ-01A-11R-A040-07,CN_low,Training
TCGA-AP-A0LL-01A-12R-A104-07,CN_low,Training
TCGA-AP-A0LM-01A-11R-A118-07,Hypermutated,Training
TCGA-AP-A0LN-01A-11R-A040-07,CN_low,Training
TCGA-AP-A0LO-01A-11R-A040-07,CN_low,Training
TCGA-AP-A0LP-01A-12R-A104-07,Hypermutated,Training
TCGA-AP-A0LT-01A-11R-A040-07,Hypermutated,Training
TCGA-AP-A0LV-01A-11R-A040-07,CN_low,Training
TCGA-AX-A05S-01A-11R-A00V-07,Hypermutated,Training
TCGA-AX-A05T-01A-11R-A00V-07,CN_low,Training
TCGA-AX-A05U-01A-11R-A00V-07,CN_low,Training
TCGA-AX-A05Y-01A-11R-A00V-07,Hypermutated,Training
TCGA-AX-A05Z-01A-11R-A00V-07,Hypermutated,Training
TCGA-AX-A060-01A-11R-A00V-07,Hypermutated,Training
TCGA-AX-A063-01A-11R-A00V-07,Hypermutated,Training
TCGA-AX-A064-01A-11R-A00V-07,Hypermutated,Training
TCGA-AX-A06B-01A-11R-A00V-07,CN_high,Training
TCGA-AX-A06H-01A-11R-A118-07,Hypermutated,Training
TCGA-AX-A0IU-01A-11R-A16W-07,CN_high,Training
TCGA-AX-A0IW-01A-11R-A040-07,CN_high,Training
TCGA-AX-A0J0-01A-11R-A109-07,Hypermutated,Training
TCGA-AX-A0J1-01A-11R-A040-07,Hypermutated,Training
TCGA-AX-A1C8-01A-11R-A137-07,CN_high,Training
TCGA-AX-A1CP-01A-11R-A137-07,CN_high,Training
TCGA-AX-A2H5-01A-11R-A17B-07,CN_high,Training
TCGA-AX-A2HF-01A-11R-A17B-07,CN_high,Training
TCGA-B5-A0JS-01A-11R-A104-07,CN_low,Training
TCGA-B5-A0JT-01A-21R-A118-07,CN_low,Training
TCGA-B5-A0JV-01A-11R-A104-07,Hypermutated,Training
TCGA-B5-A0JY-01A-11R-A104-07,Hypermutated,Training
TCGA-B5-A0JZ-01A-11R-A040-07,Hypermutated,Training
TCGA-B5-A0K0-01A-11R-A16W-07,CN_low,Training
TCGA-B5-A0K1-01A-11R-A16W-07,CN_low,Training
TCGA-B5-A0K2-01A-12R-A104-07,Hypermutated,Training
TCGA-B5-A0K3-01A-11R-A040-07,CN_high,Training
TCGA-B5-A0K4-01A-11R-A040-07,CN_low,Training
TCGA-B5-A0K7-01A-11R-A104-07,CN_low,Training
TCGA-B5-A0K8-01A-11R-A14M-07,CN_high,Training
TCGA-B5-A11F-01A-11R-A10J-07,CN_low,Training
TCGA-B5-A11G-01A-13R-A118-07,Hypermutated,Training
TCGA-B5-A11I-01A-11R-A10J-07,CN_high,Training
TCGA-B5-A11J-01A-11R-A118-07,Hypermutated,Training
TCGA-B5-A11N-01A-11R-A118-07,Hypermutated,Training
TCGA-B5-A11O-01A-11R-A118-07,CN_low,Training
TCGA-B5-A11S-01A-11R-A118-07,CN_low,Training
TCGA-B5-A11U-01A-11R-A118-07,Hypermutated,Training
TCGA-B5-A11V-01A-11R-A10J-07,CN_low,Training
TCGA-B5-A11W-01A-12R-A118-07,CN_low,Training
TCGA-B5-A11Y-01A-21R-A10J-07,CN_low,Training
TCGA-B5-A121-01A-31R-A118-07,CN_low,Training
TCGA-B5-A1MU-01A-11R-A13S-07,CN_high,Training
TCGA-B5-A1MY-01A-11R-A144-07,CN_high,Training
TCGA-BG-A0LW-01A-11R-A16W-07,CN_low,Training
TCGA-BG-A0M0-01A-11R-A104-07,Hypermutated,Training
TCGA-BG-A0M2-01A-11R-A104-07,CN_low,Training
TCGA-BG-A0M3-01A-11R-A104-07,CN_low,Training
TCGA-BG-A0M4-01A-11R-A104-07,Hypermutated,Training
TCGA-BG-A0M6-01A-31R-A104-07,CN_high,Training
TCGA-BG-A0M7-01A-11R-A040-07,CN_low,Training
